"道具ID："	"物品名称20ABCD0E装备A=第几套B=职业（0通用1丐帮2少林3全真）C=套装（0无属性1阴2阳3内4外）D=品质E=装备subType700101开始是宝石"	"图标ID。填入icon的资源的名称"	"掉落模型ID"	"分类。1=货币，2=装备,3=消耗品，4=宝物，5=礼包，6=宝石，7=任务,8=英雄,9=材料"	"子类型，标识道具子类对于装备，1-武器，2-头盔，3-衣服，4-护肩，5-腰带，6-裤子，7-靴子，8-项链，9-护腕，10-左戒指，11-右戒指，12-饰品对于消耗品1=一般玩法消耗（用于跟道具类型无关的消耗），2=强化药剂，3=鉴定符,4=龙经验丹，5=自动使用血瓶，6=经验丹，7=喇叭8升级丹9=迷城重置符10=大血包11=大魔包12大魔瓶13尊爵体验卡，14=合成材料，15=合成符石，16=时装碎片，17=坐骑碎片19=宠物碎片20=秘籍升阶道具21=秘籍技能格开启道具,22=华山论剑卷轴,23单人首领卷轴=,24=叱咤王府卷轴,25=海上洪涛卷轴,26=千刃绝顶卷轴,27=大军西征卷轴,28=柔然入寇卷轴,29=未鉴定宝图,29=已鉴定宝图，31=再入琅琊卷轴32=280组队本33=300组队本对于宝物，1=坐骑10=宠物11=背旗12=法阵对于宝石，数字表示宝石种类，共9种对于礼包：1=普通礼包，2=时装包对于英雄：1.英雄碎片2.根骨丹3.助战相关道具4.武魂相关道具5.秘籍相关道具."	"使用等级"	"品质。0=白色，1=绿色，2=蓝色，3=紫色，4=金色，5=橙色，6=红色"	"职业限制。1=丐帮可用，2=少林可用，4=全真可用。填入和值"	"物品规则读ItemRuleConfig里的定义必填项"	"出售价格"	"叠加数量叠加多个与可计时冲突，警告！"	"拾取方式。0=手动拾取，1=自动拾取，2=自动拾取即使用，3=拾取进公会仓库，4=购买并自动使用（时装礼包）"	"物品描述"	"物品使用脚本"	"物品使用条件，[type,param0,param1]，type=1物品ID，物品数量type=2金币，所有金币，充值金币"	"特定场景中使用。0=副本，1=野外地图，2=主城"	"物品寿命（分）与ItemRuleConfig表中的计时规则配合生效"	"掉落拾取时是否有成就提示"	"是否记录log"	"是否批量使用"	"是否连续使用"	"是否快捷使用"	"装备显示"	"装备显示"	"装备显示"	"特殊显示"	"使用时打开功能界面"	"使用性别0=通用1=男2=女"	"获得途径"	""	""	""	""	
"810098"	"任务待用"	"item,binglingxuewu"	"100001"	"7"	"1"	"0"	"0"	"7"	"7"	"0"	"100"	"1"	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	
"810099"	"任务待用"	"item,binglingxuewu"	"100001"	"7"	"1"	"0"	"0"	"7"	"7"	"0"	"100"	"1"	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	
"810100"	"任务待用"	"item,binglingxuewu"	"100001"	"7"	"1"	"0"	"0"	"7"	"7"	"0"	"100"	"1"	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	
"810101"	"任务待用"	"item,binglingxuewu"	"100001"	"7"	"1"	"0"	"0"	"7"	"7"	"0"	"100"	"1"	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	
"810102"	"任务待用"	"item,binglingxuewu"	"100001"	"7"	"1"	"0"	"0"	"7"	"7"	"0"	"100"	"1"	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	
"810103"	"任务待用"	"item,binglingxuewu"	"100001"	"7"	"1"	"0"	"0"	"7"	"7"	"0"	"100"	"1"	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	
"810104"	"任务待用"	"item,binglingxuewu"	"100001"	"7"	"1"	"0"	"0"	"7"	"7"	"0"	"100"	"1"	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	
"810105"	"任务待用"	"item,binglingxuewu"	"100001"	"7"	"1"	"0"	"0"	"7"	"7"	"0"	"100"	"1"	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	
"810106"	"任务待用"	"item,binglingxuewu"	"100001"	"7"	"1"	"0"	"0"	"7"	"7"	"0"	"100"	"1"	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	
"810107"	"任务待用"	"item,binglingxuewu"	"100001"	"7"	"1"	"0"	"0"	"7"	"7"	"0"	"100"	"1"	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	
"810108"	"任务待用"	"item,binglingxuewu"	"100001"	"7"	"1"	"0"	"0"	"7"	"7"	"0"	"100"	"1"	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	
"810109"	"任务待用"	"item,binglingxuewu"	"100001"	"7"	"1"	"0"	"0"	"7"	"7"	"0"	"100"	"1"	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	
"810110"	"任务待用"	"item,binglingxuewu"	"100001"	"7"	"1"	"0"	"0"	"7"	"7"	"0"	"100"	"1"	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	
"810111"	"任务待用"	"item,binglingxuewu"	"100001"	"7"	"1"	"0"	"0"	"7"	"7"	"0"	"100"	"1"	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	
"810112"	"任务待用"	"item,binglingxuewu"	"100001"	"7"	"1"	"0"	"0"	"7"	"7"	"0"	"100"	"1"	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	
"810113"	"任务待用"	"item,binglingxuewu"	"100001"	"7"	"1"	"0"	"0"	"7"	"7"	"0"	"100"	"1"	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	
"810114"	"任务待用"	"item,binglingxuewu"	"100001"	"7"	"1"	"0"	"0"	"7"	"7"	"0"	"100"	"1"	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	
"810115"	"任务待用"	"item,binglingxuewu"	"100001"	"7"	"1"	"0"	"0"	"7"	"7"	"0"	"100"	"1"	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	
"810116"	"任务待用"	"item,binglingxuewu"	"100001"	"7"	"1"	"0"	"0"	"7"	"7"	"0"	"100"	"1"	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	
"810117"	"任务待用"	"item,binglingxuewu"	"100001"	"7"	"1"	"0"	"0"	"7"	"7"	"0"	"100"	"1"	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	
"810118"	"任务待用"	"item,binglingxuewu"	"100001"	"7"	"1"	"0"	"0"	"7"	"7"	"0"	"100"	"1"	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	
"810119"	"任务待用"	"item,binglingxuewu"	"100001"	"7"	"1"	"0"	"0"	"7"	"7"	"0"	"100"	"1"	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	
"810120"	"任务待用"	"item,binglingxuewu"	"100001"	"7"	"1"	"0"	"0"	"7"	"7"	"0"	"100"	"1"	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	
"810121"	"任务待用"	"item,binglingxuewu"	"100001"	"7"	"1"	"0"	"0"	"7"	"7"	"0"	"100"	"1"	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	
"810122"	"任务待用"	"item,binglingxuewu"	"100001"	"7"	"1"	"0"	"0"	"7"	"7"	"0"	"100"	"1"	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	
"810123"	"任务待用"	"item,binglingxuewu"	"100001"	"7"	"1"	"0"	"0"	"7"	"7"	"0"	"100"	"1"	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	
"810124"	"任务待用"	"item,binglingxuewu"	"100001"	"7"	"1"	"0"	"0"	"7"	"7"	"0"	"100"	"1"	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	
"810125"	"任务待用"	"item,binglingxuewu"	"100001"	"7"	"1"	"0"	"0"	"7"	"7"	"0"	"100"	"1"	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	
"810126"	"任务待用"	"item,binglingxuewu"	"100001"	"7"	"1"	"0"	"0"	"7"	"7"	"0"	"100"	"1"	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	
"810127"	"任务待用"	"item,binglingxuewu"	"100001"	"7"	"1"	"0"	"0"	"7"	"7"	"0"	"100"	"1"	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	
"810128"	"任务待用"	"item,binglingxuewu"	"100001"	"7"	"1"	"0"	"0"	"7"	"7"	"0"	"100"	"1"	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	
"810129"	"任务待用"	"item,binglingxuewu"	"100001"	"7"	"1"	"0"	"0"	"7"	"7"	"0"	"100"	"1"	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	
"810130"	"任务待用"	"item,binglingxuewu"	"100001"	"7"	"1"	"0"	"0"	"7"	"7"	"0"	"100"	"1"	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	
"810131"	"任务待用"	"item,binglingxuewu"	"100001"	"7"	"1"	"0"	"0"	"7"	"7"	"0"	"100"	"1"	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	
"810132"	"任务待用"	"item,binglingxuewu"	"100001"	"7"	"1"	"0"	"0"	"7"	"7"	"0"	"100"	"1"	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	
"810133"	"任务待用"	"item,binglingxuewu"	"100001"	"7"	"1"	"0"	"0"	"7"	"7"	"0"	"100"	"1"	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	
"810134"	"任务待用"	"item,binglingxuewu"	"100001"	"7"	"1"	"0"	"0"	"7"	"7"	"0"	"100"	"1"	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	
"810135"	"任务待用"	"item,binglingxuewu"	"100001"	"7"	"1"	"0"	"0"	"7"	"7"	"0"	"100"	"1"	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	
"810136"	"任务待用"	"item,binglingxuewu"	"100001"	"7"	"1"	"0"	"0"	"7"	"7"	"0"	"100"	"1"	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	
"810137"	"任务待用"	"item,binglingxuewu"	"100001"	"7"	"1"	"0"	"0"	"7"	"7"	"0"	"100"	"1"	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	
"810138"	"任务待用"	"item,binglingxuewu"	"100001"	"7"	"1"	"0"	"0"	"7"	"7"	"0"	"100"	"1"	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	
"810139"	"任务待用"	"item,binglingxuewu"	"100001"	"7"	"1"	"0"	"0"	"7"	"7"	"0"	"100"	"1"	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	
"810140"	"任务待用"	"item,binglingxuewu"	"100001"	"7"	"1"	"0"	"0"	"7"	"7"	"0"	"100"	"1"	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	
"810141"	"任务待用"	"item,binglingxuewu"	"100001"	"7"	"1"	"0"	"0"	"7"	"7"	"0"	"100"	"1"	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	
"810142"	"任务待用"	"item,binglingxuewu"	"100001"	"7"	"1"	"0"	"0"	"7"	"7"	"0"	"100"	"1"	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	
"810143"	"任务待用"	"item,binglingxuewu"	"100001"	"7"	"1"	"0"	"0"	"7"	"7"	"0"	"100"	"1"	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	
"810144"	"任务待用"	"item,binglingxuewu"	"100001"	"7"	"1"	"0"	"0"	"7"	"7"	"0"	"100"	"1"	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	
"810145"	"任务待用"	"item,binglingxuewu"	"100001"	"7"	"1"	"0"	"0"	"7"	"7"	"0"	"100"	"1"	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	
"810146"	"任务待用"	"item,binglingxuewu"	"100001"	"7"	"1"	"0"	"0"	"7"	"7"	"0"	"100"	"1"	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	
"810147"	"任务待用"	"item,binglingxuewu"	"100001"	"7"	"1"	"0"	"0"	"7"	"7"	"0"	"100"	"1"	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	
"810148"	"任务待用"	"item,binglingxuewu"	"100001"	"7"	"1"	"0"	"0"	"7"	"7"	"0"	"100"	"1"	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	
"810149"	"任务待用"	"item,binglingxuewu"	"100001"	"7"	"1"	"0"	"0"	"7"	"7"	"0"	"100"	"1"	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	
"810150"	"任务待用"	"item,binglingxuewu"	"100001"	"7"	"1"	"0"	"0"	"7"	"7"	"0"	"100"	"1"	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	
"810151"	"任务待用"	"item,binglingxuewu"	"100001"	"7"	"1"	"0"	"0"	"7"	"7"	"0"	"100"	"1"	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	
"810152"	"任务待用"	"item,binglingxuewu"	"100001"	"7"	"1"	"0"	"0"	"7"	"7"	"0"	"100"	"1"	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	
"810153"	"任务待用"	"item,binglingxuewu"	"100001"	"7"	"1"	"0"	"0"	"7"	"7"	"0"	"100"	"1"	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	
"810154"	"任务待用"	"item,binglingxuewu"	"100001"	"7"	"1"	"0"	"0"	"7"	"7"	"0"	"100"	"1"	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	
"810155"	"任务待用"	"item,binglingxuewu"	"100001"	"7"	"1"	"0"	"0"	"7"	"7"	"0"	"100"	"1"	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	
"810156"	"任务待用"	"item,binglingxuewu"	"100001"	"7"	"1"	"0"	"0"	"7"	"7"	"0"	"100"	"1"	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	
"810157"	"任务待用"	"item,binglingxuewu"	"100001"	"7"	"1"	"0"	"0"	"7"	"7"	"0"	"100"	"1"	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	
"810158"	"任务待用"	"item,binglingxuewu"	"100001"	"7"	"1"	"0"	"0"	"7"	"7"	"0"	"100"	"1"	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	
"810159"	"任务待用"	"item,binglingxuewu"	"100001"	"7"	"1"	"0"	"0"	"7"	"7"	"0"	"100"	"1"	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	
"810160"	"任务待用"	"item,binglingxuewu"	"100001"	"7"	"1"	"0"	"0"	"7"	"7"	"0"	"100"	"1"	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	
"810161"	"任务待用"	"item,binglingxuewu"	"100001"	"7"	"1"	"0"	"0"	"7"	"7"	"0"	"100"	"1"	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	
"810162"	"任务待用"	"item,binglingxuewu"	"100001"	"7"	"1"	"0"	"0"	"7"	"7"	"0"	"100"	"1"	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	
"810163"	"任务待用"	"item,binglingxuewu"	"100001"	"7"	"1"	"0"	"0"	"7"	"7"	"0"	"100"	"1"	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	
"810164"	"任务待用"	"item,binglingxuewu"	"100001"	"7"	"1"	"0"	"0"	"7"	"7"	"0"	"100"	"1"	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	
"810165"	"任务待用"	"item,binglingxuewu"	"100001"	"7"	"1"	"0"	"0"	"7"	"7"	"0"	"100"	"1"	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	
"810166"	"任务待用"	"item,binglingxuewu"	"100001"	"7"	"1"	"0"	"0"	"7"	"7"	"0"	"100"	"1"	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	
"810167"	"任务待用"	"item,binglingxuewu"	"100001"	"7"	"1"	"0"	"0"	"7"	"7"	"0"	"100"	"1"	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	
"810168"	"任务待用"	"item,binglingxuewu"	"100001"	"7"	"1"	"0"	"0"	"7"	"7"	"0"	"100"	"1"	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	
"810169"	"任务待用"	"item,binglingxuewu"	"100001"	"7"	"1"	"0"	"0"	"7"	"7"	"0"	"100"	"1"	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"源于凛冬王国的一种对止血有效的草药。"	""	""	""	""	
"6000001"	"旧版坐骑升级材料"	"icon_rideitem_png,item_zuoqishengji"	"100004"	"3"	"1"	"1"	"2"	"7"	"2"	"100"	"999"	"1"	"游戏里的重要资源，可用于提升坐骑等级\n[green]产出途径：商城&每日坐骑."	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"坐骑升级所需材料，可在坐骑系统中将月影石注入给坐骑，提升坐骑等级\n[green]产出途径：商城、副本"	""	""	""	""	
"6000002"	"旧版坐骑突破材料"	"icon_rideitem_png,item_tupo"	"100004"	"3"	"1"	"1"	"3"	"7"	"2"	"100"	"999"	"1"	"游戏里的重要资源，坐骑突破所需材料，可使坐骑突破当前等阶。\n[green]产出途径：商城."	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"坐骑突破所需材料，内含坐骑魂力，可使坐骑突破当前等阶。\n[green]产出途径：商城、副本"	""	""	""	""	
"6000003"	"技能书"	"icon_rideitem_png,item_shu"	"100004"	"3"	"1"	"1"	"3"	"7"	"2"	"100"	"999"	"1"	"游戏里的重要资源，可对坐骑技能进行升级，提升坐骑技能效果。\n[green]产出途径：商城."	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"坐骑技能升级所需材料，可对坐骑技能进行升级，提升坐骑技能效果。\n[green]产出途径：商城、副本"	""	""	""	""	
"6100000"	"小飞鞋"	"icon_item_png,xiaofeixie01"	"100004"	"3"	"1"	"1"	"2"	"7"	"2"	"100"	"999"	"1"	"可瞬间传送至指定地点\n[green]产出途径：商城、副本"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"可瞬间传送至指定地点\n[green]产出途径：商城、副本"	""	""	""	""	
"7000001"	"粮食"	"gem,lvbs2"	"100004"	"7"	"1"	"1"	"1"	"7"	"3"	"100"	"100"	"1"	"粮食"	""	""	""	""	"1"	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"粮食"	""	""	""	""	
"7000002"	"一坛酒"	"gem,lvbs2"	"100004"	"7"	"1"	"1"	"1"	"7"	"3"	"100"	"100"	"1"	"一坛酒"	""	""	""	""	"1"	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"一坛酒"	""	""	""	""	
"7000003"	"钱袋"	"gem,lvbs2"	"100004"	"7"	"1"	"1"	"1"	"7"	"3"	"100"	"100"	"1"	"钱袋"	""	""	""	""	"1"	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"钱袋"	""	""	""	""	
"7000004"	"鲜果"	"gem,lvbs2"	"100004"	"7"	"1"	"1"	"1"	"7"	"3"	"100"	"100"	"1"	"鲜果"	""	""	""	""	"1"	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"鲜果"	""	""	""	""	
