"ID(玩家等级)"	"元宝领取奖励比例"	"免费领取奖励比例"	"消耗道具ID/每日消耗元宝数量/奖励道具ID/单次数量/每日次数/VIP次数加成（跨服副本40级开放）"	"消耗道具ID/消耗元宝数量/奖励道具ID/单次数量/每日次数/VIP次数加成（经验本46级开放）"	"消耗道具ID/消耗元宝数量/奖励道具ID/单次数量/每日次数/VIP次数加成（坐骑本52级开放）"	"消耗道具ID/消耗元宝数量/奖励道具ID/单次数量/每日次数/VIP次数加成（单人首领60级开启）"	"消耗道具ID/消耗元宝数量/奖励道具ID/单次数量/每日次数/VIP次数加成（环式任务60级开放）"	"消耗道具ID/消耗元宝数量/奖励道具ID/单次数量/每日次数/VIP次数加成（铜币本70级开放）"	"消耗道具ID/消耗元宝数量/奖励道具ID/单次数量/每日次数/VIP次数加成（）"	"消耗道具ID/消耗元宝数量/奖励道具ID/单次数量/每日次数/VIP次数加成（）"	"消耗道具ID/消耗元宝数量/奖励道具ID/单次数量/每日次数/VIP次数加成（）"	"消耗道具ID/消耗元宝数量/奖励道具ID/单次数量/每日次数/VIP次数加成（）"	"消耗道具ID/消耗元宝数量/奖励道具ID/单次数量/每日次数/VIP次数加成（）"	"消耗道具ID/消耗元宝数量/奖励道具ID/单次数量/每日次数/VIP次数加成（）"	"消耗道具ID/消耗元宝数量/奖励道具ID/单次数量/每日次数/VIP次数加成（）"	"消耗道具ID/消耗元宝数量/奖励道具ID/单次数量/每日次数/VIP次数加成（）"	"消耗道具ID/消耗元宝数量/奖励道具ID/单次数量/每日次数/VIP次数加成（）"	"消耗道具ID/消耗元宝数量/奖励道具ID/单次数量/每日次数/VIP次数加成（）"	"消耗道具ID/消耗元宝数量/奖励道具ID/单次数量/每日次数/VIP次数加成（）"	"消耗道具ID/消耗元宝数量/奖励道具ID/单次数量/每日次数/VIP次数加成（）"	"消耗道具ID/消耗元宝数量/奖励道具ID/单次数量/每日次数/VIP次数加成（）"	"消耗道具ID/消耗元宝数量/奖励道具ID/单次数量/每日次数/VIP次数加成（）"	"图标/奖励名称（跨服副本）"	"图标/奖励名称（经验本）"	"图标/奖励名称（坐骑本）"	"图标/奖励名称（单人首领）"	"图标/奖励名称（环式任务）"	"图标/奖励名称（铜币本）"	"图标/奖励名称（点石成金）"	"图标/奖励名称（魔王本）"	"图标/奖励名称（暗黑擂台）"	"图标/奖励名称（体力）"	"图标/奖励名称"	"图标/奖励名称"	"图标/奖励名称"	"图标/奖励名称"	"图标/奖励名称"	"图标/奖励名称"	"图标/奖励名称"	"图标/奖励名称"	"图标/奖励名称"	"图标/奖励名称"	""	""	""	""	""	""	""	""	""	""	""	""	
"153"	"1.000000"	"0.500000"	"100003,80,680103,2,1,0"	"100003,50,680205,2,1,0"	"100003,40,680306,2,1,0"	"100003,80,680403,2,1,0"	"100003,120,680507,2,1,0"	"100003,50,680606,2,1,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"ui_qiandao_png,kuafufuben"	"ui_qiandao_png,jingyanfuben"	"ui_qiandao_png,zuoqifuben"	"ui_qiandao_png,huanshifuben"	"ui_qiandao_png,huanshirenwu"	"ui_qiandao_png,tongbifuben"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	""	""	""	""	""	""	""	""	
"154"	"1.000000"	"0.500000"	"100003,80,680103,2,1,0"	"100003,50,680205,2,1,0"	"100003,40,680306,2,1,0"	"100003,80,680403,2,1,0"	"100003,120,680507,2,1,0"	"100003,50,680606,2,1,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"ui_qiandao_png,kuafufuben"	"ui_qiandao_png,jingyanfuben"	"ui_qiandao_png,zuoqifuben"	"ui_qiandao_png,huanshifuben"	"ui_qiandao_png,huanshirenwu"	"ui_qiandao_png,tongbifuben"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	""	""	""	""	""	""	""	""	
"155"	"1.000000"	"0.500000"	"100003,80,680103,2,1,0"	"100003,50,680205,2,1,0"	"100003,40,680306,2,1,0"	"100003,80,680403,2,1,0"	"100003,120,680507,2,1,0"	"100003,50,680606,2,1,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"ui_qiandao_png,kuafufuben"	"ui_qiandao_png,jingyanfuben"	"ui_qiandao_png,zuoqifuben"	"ui_qiandao_png,huanshifuben"	"ui_qiandao_png,huanshirenwu"	"ui_qiandao_png,tongbifuben"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	""	""	""	""	""	""	""	""	
"156"	"1.000000"	"0.500000"	"100003,80,680103,2,1,0"	"100003,50,680205,2,1,0"	"100003,40,680306,2,1,0"	"100003,80,680403,2,1,0"	"100003,120,680507,2,1,0"	"100003,50,680606,2,1,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"ui_qiandao_png,kuafufuben"	"ui_qiandao_png,jingyanfuben"	"ui_qiandao_png,zuoqifuben"	"ui_qiandao_png,huanshifuben"	"ui_qiandao_png,huanshirenwu"	"ui_qiandao_png,tongbifuben"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	""	""	""	""	""	""	""	""	
"157"	"1.000000"	"0.500000"	"100003,80,680103,2,1,0"	"100003,50,680205,2,1,0"	"100003,40,680306,2,1,0"	"100003,80,680403,2,1,0"	"100003,120,680507,2,1,0"	"100003,50,680606,2,1,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"ui_qiandao_png,kuafufuben"	"ui_qiandao_png,jingyanfuben"	"ui_qiandao_png,zuoqifuben"	"ui_qiandao_png,huanshifuben"	"ui_qiandao_png,huanshirenwu"	"ui_qiandao_png,tongbifuben"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	""	""	""	""	""	""	""	""	
"158"	"1.000000"	"0.500000"	"100003,80,680103,2,1,0"	"100003,50,680205,2,1,0"	"100003,40,680306,2,1,0"	"100003,80,680403,2,1,0"	"100003,120,680507,2,1,0"	"100003,50,680606,2,1,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"ui_qiandao_png,kuafufuben"	"ui_qiandao_png,jingyanfuben"	"ui_qiandao_png,zuoqifuben"	"ui_qiandao_png,huanshifuben"	"ui_qiandao_png,huanshirenwu"	"ui_qiandao_png,tongbifuben"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	""	""	""	""	""	""	""	""	
"159"	"1.000000"	"0.500000"	"100003,80,680103,2,1,0"	"100003,50,680205,2,1,0"	"100003,40,680306,2,1,0"	"100003,80,680403,2,1,0"	"100003,120,680507,2,1,0"	"100003,50,680606,2,1,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"ui_qiandao_png,kuafufuben"	"ui_qiandao_png,jingyanfuben"	"ui_qiandao_png,zuoqifuben"	"ui_qiandao_png,huanshifuben"	"ui_qiandao_png,huanshirenwu"	"ui_qiandao_png,tongbifuben"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	""	""	""	""	""	""	""	""	
"160"	"1.000000"	"0.500000"	"100003,80,680104,2,1,0"	"100003,50,680206,2,1,0"	"100003,40,680306,2,1,0"	"100003,80,680404,2,1,0"	"100003,120,680507,2,1,0"	"100003,50,680606,2,1,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"ui_qiandao_png,kuafufuben"	"ui_qiandao_png,jingyanfuben"	"ui_qiandao_png,zuoqifuben"	"ui_qiandao_png,huanshifuben"	"ui_qiandao_png,huanshirenwu"	"ui_qiandao_png,tongbifuben"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	""	""	""	""	""	""	""	""	
"161"	"1.000000"	"0.500000"	"100003,80,680104,2,1,0"	"100003,50,680206,2,1,0"	"100003,40,680306,2,1,0"	"100003,80,680404,2,1,0"	"100003,120,680507,2,1,0"	"100003,50,680606,2,1,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"ui_qiandao_png,kuafufuben"	"ui_qiandao_png,jingyanfuben"	"ui_qiandao_png,zuoqifuben"	"ui_qiandao_png,huanshifuben"	"ui_qiandao_png,huanshirenwu"	"ui_qiandao_png,tongbifuben"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	""	""	""	""	""	""	""	""	
"162"	"1.000000"	"0.500000"	"100003,80,680104,2,1,0"	"100003,50,680206,2,1,0"	"100003,40,680306,2,1,0"	"100003,80,680404,2,1,0"	"100003,120,680507,2,1,0"	"100003,50,680606,2,1,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"ui_qiandao_png,kuafufuben"	"ui_qiandao_png,jingyanfuben"	"ui_qiandao_png,zuoqifuben"	"ui_qiandao_png,huanshifuben"	"ui_qiandao_png,huanshirenwu"	"ui_qiandao_png,tongbifuben"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	""	""	""	""	""	""	""	""	
"163"	"1.000000"	"0.500000"	"100003,80,680104,2,1,0"	"100003,50,680206,2,1,0"	"100003,40,680306,2,1,0"	"100003,80,680404,2,1,0"	"100003,120,680507,2,1,0"	"100003,50,680606,2,1,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"ui_qiandao_png,kuafufuben"	"ui_qiandao_png,jingyanfuben"	"ui_qiandao_png,zuoqifuben"	"ui_qiandao_png,huanshifuben"	"ui_qiandao_png,huanshirenwu"	"ui_qiandao_png,tongbifuben"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	""	""	""	""	""	""	""	""	
"164"	"1.000000"	"0.500000"	"100003,80,680104,2,1,0"	"100003,50,680206,2,1,0"	"100003,40,680306,2,1,0"	"100003,80,680404,2,1,0"	"100003,120,680507,2,1,0"	"100003,50,680606,2,1,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"ui_qiandao_png,kuafufuben"	"ui_qiandao_png,jingyanfuben"	"ui_qiandao_png,zuoqifuben"	"ui_qiandao_png,huanshifuben"	"ui_qiandao_png,huanshirenwu"	"ui_qiandao_png,tongbifuben"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	""	""	""	""	""	""	""	""	
"165"	"1.000000"	"0.500000"	"100003,80,680104,2,1,0"	"100003,50,680206,2,1,0"	"100003,40,680307,2,1,0"	"100003,80,680404,2,1,0"	"100003,120,680508,2,1,0"	"100003,50,680606,2,1,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"ui_qiandao_png,kuafufuben"	"ui_qiandao_png,jingyanfuben"	"ui_qiandao_png,zuoqifuben"	"ui_qiandao_png,huanshifuben"	"ui_qiandao_png,huanshirenwu"	"ui_qiandao_png,tongbifuben"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	""	""	""	""	""	""	""	""	
"166"	"1.000000"	"0.500000"	"100003,80,680104,2,1,0"	"100003,50,680206,2,1,0"	"100003,40,680307,2,1,0"	"100003,80,680404,2,1,0"	"100003,120,680508,2,1,0"	"100003,50,680606,2,1,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"ui_qiandao_png,kuafufuben"	"ui_qiandao_png,jingyanfuben"	"ui_qiandao_png,zuoqifuben"	"ui_qiandao_png,huanshifuben"	"ui_qiandao_png,huanshirenwu"	"ui_qiandao_png,tongbifuben"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	""	""	""	""	""	""	""	""	
"167"	"1.000000"	"0.500000"	"100003,80,680104,2,1,0"	"100003,50,680206,2,1,0"	"100003,40,680307,2,1,0"	"100003,80,680404,2,1,0"	"100003,120,680508,2,1,0"	"100003,50,680606,2,1,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"ui_qiandao_png,kuafufuben"	"ui_qiandao_png,jingyanfuben"	"ui_qiandao_png,zuoqifuben"	"ui_qiandao_png,huanshifuben"	"ui_qiandao_png,huanshirenwu"	"ui_qiandao_png,tongbifuben"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	""	""	""	""	""	""	""	""	
"168"	"1.000000"	"0.500000"	"100003,80,680104,2,1,0"	"100003,50,680206,2,1,0"	"100003,40,680307,2,1,0"	"100003,80,680404,2,1,0"	"100003,120,680508,2,1,0"	"100003,50,680606,2,1,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"ui_qiandao_png,kuafufuben"	"ui_qiandao_png,jingyanfuben"	"ui_qiandao_png,zuoqifuben"	"ui_qiandao_png,huanshifuben"	"ui_qiandao_png,huanshirenwu"	"ui_qiandao_png,tongbifuben"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	""	""	""	""	""	""	""	""	
"169"	"1.000000"	"0.500000"	"100003,80,680104,2,1,0"	"100003,50,680206,2,1,0"	"100003,40,680307,2,1,0"	"100003,80,680404,2,1,0"	"100003,120,680508,2,1,0"	"100003,50,680606,2,1,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"ui_qiandao_png,kuafufuben"	"ui_qiandao_png,jingyanfuben"	"ui_qiandao_png,zuoqifuben"	"ui_qiandao_png,huanshifuben"	"ui_qiandao_png,huanshirenwu"	"ui_qiandao_png,tongbifuben"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	""	""	""	""	""	""	""	""	
"170"	"1.000000"	"0.500000"	"100003,80,680104,2,1,0"	"100003,50,680206,2,1,0"	"100003,40,680307,2,1,0"	"100003,80,680404,2,1,0"	"100003,120,680508,2,1,0"	"100003,50,680607,2,1,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"ui_qiandao_png,kuafufuben"	"ui_qiandao_png,jingyanfuben"	"ui_qiandao_png,zuoqifuben"	"ui_qiandao_png,huanshifuben"	"ui_qiandao_png,huanshirenwu"	"ui_qiandao_png,tongbifuben"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	""	""	""	""	""	""	""	""	
"171"	"1.000000"	"0.500000"	"100003,80,680104,2,1,0"	"100003,50,680206,2,1,0"	"100003,40,680307,2,1,0"	"100003,80,680404,2,1,0"	"100003,120,680508,2,1,0"	"100003,50,680607,2,1,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"ui_qiandao_png,kuafufuben"	"ui_qiandao_png,jingyanfuben"	"ui_qiandao_png,zuoqifuben"	"ui_qiandao_png,huanshifuben"	"ui_qiandao_png,huanshirenwu"	"ui_qiandao_png,tongbifuben"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	""	""	""	""	""	""	""	""	
"172"	"1.000000"	"0.500000"	"100003,80,680104,2,1,0"	"100003,50,680206,2,1,0"	"100003,40,680307,2,1,0"	"100003,80,680404,2,1,0"	"100003,120,680508,2,1,0"	"100003,50,680607,2,1,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"ui_qiandao_png,kuafufuben"	"ui_qiandao_png,jingyanfuben"	"ui_qiandao_png,zuoqifuben"	"ui_qiandao_png,huanshifuben"	"ui_qiandao_png,huanshirenwu"	"ui_qiandao_png,tongbifuben"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	""	""	""	""	""	""	""	""	
"173"	"1.000000"	"0.500000"	"100003,80,680104,2,1,0"	"100003,50,680206,2,1,0"	"100003,40,680307,2,1,0"	"100003,80,680404,2,1,0"	"100003,120,680508,2,1,0"	"100003,50,680607,2,1,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"ui_qiandao_png,kuafufuben"	"ui_qiandao_png,jingyanfuben"	"ui_qiandao_png,zuoqifuben"	"ui_qiandao_png,huanshifuben"	"ui_qiandao_png,huanshirenwu"	"ui_qiandao_png,tongbifuben"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	""	""	""	""	""	""	""	""	
"174"	"1.000000"	"0.500000"	"100003,80,680104,2,1,0"	"100003,50,680206,2,1,0"	"100003,40,680307,2,1,0"	"100003,80,680404,2,1,0"	"100003,120,680508,2,1,0"	"100003,50,680607,2,1,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"ui_qiandao_png,kuafufuben"	"ui_qiandao_png,jingyanfuben"	"ui_qiandao_png,zuoqifuben"	"ui_qiandao_png,huanshifuben"	"ui_qiandao_png,huanshirenwu"	"ui_qiandao_png,tongbifuben"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	""	""	""	""	""	""	""	""	
"175"	"1.000000"	"0.500000"	"100003,80,680104,2,1,0"	"100003,50,680206,2,1,0"	"100003,40,680307,2,1,0"	"100003,80,680404,2,1,0"	"100003,120,680508,2,1,0"	"100003,50,680607,2,1,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"ui_qiandao_png,kuafufuben"	"ui_qiandao_png,jingyanfuben"	"ui_qiandao_png,zuoqifuben"	"ui_qiandao_png,huanshifuben"	"ui_qiandao_png,huanshirenwu"	"ui_qiandao_png,tongbifuben"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	""	""	""	""	""	""	""	""	
