"ID,40000-44999给骑龙和龙的技能，45000到45999给坐骑"	"名称"	"描述"	"描述参数"	"图集ID"	"图标ID"	"是否显示图标"	"友好度0=良性,1=负面,2=中立"	"由Magic对象管理"	"切换场景结束"	"死亡结束"	"下线结束"	"下线计时"	"下龙消失(用于控制龙主动技能产生的buff)"	"组ID，注意如果是光环的话，代表被光环笼罩产生的buff的组"	"组中优先级0为最低"	"同id共存方式0=叠加,1=冲抵,2=免疫,3=共存(只用于龙的被动技)4=刷新已存的buff时间"	"光环标志0x01=可叠加，0x02=他人不可见"	"默认叠加层数"	"叠加层数上限"	"光环目标1=单体；2=敌人；4=友军；8=中立"	"光环持续时间"	"光环生效半径只对光环类型是计时型的起作用。次数型光环均是个人光环。"	"光环更新时间光环刷新时只修改目标列表"	"是否为限制效果"	"效果1ID"	"效果2ID"	"效果3ID"	"效果4ID"	"效果5ID"	"效果6ID"	"客户端效果"	"生效场景--不配表示所有场景中生效--否则仅在配置场景中生效"	"效果添加对象5：人2：dummy4：马"	"状态分类0=无1=定身状态2=中毒状态3=眩晕状态4=缓速状态"	"客户端效果是否叠加如果光环是多层的，那么表现效果是否按照层数叠加"	
"27003103"	"神兽守护效果4：风系伤害减免表现4"	"受到伤害时，100%几率减少10%其中的火系伤害。持续[green]${0},8$[white]秒。每6秒触发1次"	"[[`aura`,27003103,0,`auraTime`]]"	"BuffAtlas"	"buff_hdlv"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"6"	"0"	"2"	"0"	"1"	"0"	"1"	"10000"	"0.000000"	"1000"	"0"	"27003103"	"-1"	"-1"	"-1"	"-1"	"-1"	"1041"	""	"5"	"0"	"0"	
"27003104"	"神兽守护效果4：风系伤害减免表现5"	"受到伤害时，100%几率减少10%其中的火系伤害。持续[green]${0},8$[white]秒。每6秒触发1次"	"[[`aura`,27003104,0,`auraTime`]]"	"BuffAtlas"	"buff_hdlv"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"6"	"0"	"2"	"0"	"1"	"0"	"1"	"10000"	"0.000000"	"1000"	"0"	"27003104"	"-1"	"-1"	"-1"	"-1"	"-1"	"1041"	""	"5"	"0"	"0"	
"27003105"	"神兽守护效果4：风系伤害减免表现6"	"受到伤害时，100%几率减少10%其中的火系伤害。持续[green]${0},8$[white]秒。每6秒触发1次"	"[[`aura`,27003105,0,`auraTime`]]"	"BuffAtlas"	"buff_hdlv"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"6"	"0"	"2"	"0"	"1"	"0"	"1"	"10000"	"0.000000"	"1000"	"0"	"27003105"	"-1"	"-1"	"-1"	"-1"	"-1"	"1041"	""	"5"	"0"	"0"	
"27003106"	"神兽守护效果4：风系伤害减免表现7"	"受到伤害时，100%几率减少10%其中的火系伤害。持续[green]${0},8$[white]秒。每6秒触发1次"	"[[`aura`,27003106,0,`auraTime`]]"	"BuffAtlas"	"buff_hdlv"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"6"	"0"	"2"	"0"	"1"	"0"	"1"	"10000"	"0.000000"	"1000"	"0"	"27003106"	"-1"	"-1"	"-1"	"-1"	"-1"	"1041"	""	"5"	"0"	"0"	
"27003107"	"神兽守护效果4：风系伤害减免表现8"	"受到伤害时，100%几率减少10%其中的火系伤害。持续[green]${0},8$[white]秒。每6秒触发1次"	"[[`aura`,27003107,0,`auraTime`]]"	"BuffAtlas"	"buff_hdlv"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"6"	"0"	"2"	"0"	"1"	"0"	"1"	"10000"	"0.000000"	"1000"	"0"	"27003107"	"-1"	"-1"	"-1"	"-1"	"-1"	"1041"	""	"5"	"0"	"0"	
"27003108"	"神兽守护效果4：风系伤害减免表现9"	"受到伤害时，100%几率减少10%其中的火系伤害。持续[green]${0},8$[white]秒。每6秒触发1次"	"[[`aura`,27003108,0,`auraTime`]]"	"BuffAtlas"	"buff_hdlv"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"6"	"0"	"2"	"0"	"1"	"0"	"1"	"10000"	"0.000000"	"1000"	"0"	"27003108"	"-1"	"-1"	"-1"	"-1"	"-1"	"1041"	""	"5"	"0"	"0"	
"27003109"	"神兽守护效果4：风系伤害减免表现10"	"受到伤害时，100%几率减少10%其中的土系伤害。持续[green]${0},8$[white]秒。每6秒触发1次"	"[[`aura`,27003109,0,`auraTime`]]"	"BuffAtlas"	"buff_hdlv"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"6"	"0"	"2"	"0"	"1"	"0"	"1"	"10000"	"0.000000"	"1000"	"0"	"27003109"	"-1"	"-1"	"-1"	"-1"	"-1"	"1041"	""	"5"	"0"	"0"	
"27004000"	"神兽守护效果5：水系伤害减免1"	"受到伤害时，100%几率减少10%其中的水系伤害。持续[green]${0},8$[white]秒。每6秒触发1次"	"[[`aura`,27004000,0,`auraTime`]]"	"BuffAtlas"	"buff_hdlan"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"6"	"0"	"2"	"0"	"1"	"0"	"1"	"-1"	"0.000000"	"1000"	"0"	"27004000"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	""	"5"	"0"	"0"	
"27004001"	"神兽守护效果5：水系伤害减免2"	"受到伤害时，100%几率减少10%其中的水系伤害。持续[green]${0},8$[white]秒。每6秒触发1次"	"[[`aura`,27004001,0,`auraTime`]]"	"BuffAtlas"	"buff_hdlan"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"6"	"0"	"2"	"0"	"1"	"0"	"1"	"-1"	"0.000000"	"1000"	"0"	"27004001"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	""	"5"	"0"	"0"	
"27004002"	"神兽守护效果5：水系伤害减免3"	"受到伤害时，100%几率减少10%其中的水系伤害。持续[green]${0},8$[white]秒。每6秒触发1次"	"[[`aura`,27004002,0,`auraTime`]]"	"BuffAtlas"	"buff_hdlan"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"6"	"0"	"2"	"0"	"1"	"0"	"1"	"-1"	"0.000000"	"1000"	"0"	"27004002"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	""	"5"	"0"	"0"	
"27004003"	"神兽守护效果5：水系伤害减免4"	"受到伤害时，100%几率减少10%其中的水系伤害。持续[green]${0},8$[white]秒。每6秒触发1次"	"[[`aura`,27004003,0,`auraTime`]]"	"BuffAtlas"	"buff_hdlan"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"6"	"0"	"2"	"0"	"1"	"0"	"1"	"-1"	"0.000000"	"1000"	"0"	"27004003"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	""	"5"	"0"	"0"	
"27004004"	"神兽守护效果5：水系伤害减免5"	"受到伤害时，100%几率减少10%其中的水系伤害。持续[green]${0},8$[white]秒。每6秒触发1次"	"[[`aura`,27004004,0,`auraTime`]]"	"BuffAtlas"	"buff_hdlan"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"6"	"0"	"2"	"0"	"1"	"0"	"1"	"-1"	"0.000000"	"1000"	"0"	"27004004"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	""	"5"	"0"	"0"	
"27004005"	"神兽守护效果5：水系伤害减免6"	"受到伤害时，100%几率减少10%其中的水系伤害。持续[green]${0},8$[white]秒。每6秒触发1次"	"[[`aura`,27004005,0,`auraTime`]]"	"BuffAtlas"	"buff_hdlan"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"6"	"0"	"2"	"0"	"1"	"0"	"1"	"-1"	"0.000000"	"1000"	"0"	"27004005"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	""	"5"	"0"	"0"	
"27004006"	"神兽守护效果5：水系伤害减免7"	"受到伤害时，100%几率减少10%其中的水系伤害。持续[green]${0},8$[white]秒。每6秒触发1次"	"[[`aura`,27004006,0,`auraTime`]]"	"BuffAtlas"	"buff_hdlan"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"6"	"0"	"2"	"0"	"1"	"0"	"1"	"-1"	"0.000000"	"1000"	"0"	"27004006"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	""	"5"	"0"	"0"	
"27004007"	"神兽守护效果5：水系伤害减免8"	"受到伤害时，100%几率减少10%其中的水系伤害。持续[green]${0},8$[white]秒。每6秒触发1次"	"[[`aura`,27004007,0,`auraTime`]]"	"BuffAtlas"	"buff_hdlan"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"6"	"0"	"2"	"0"	"1"	"0"	"1"	"-1"	"0.000000"	"1000"	"0"	"27004007"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	""	"5"	"0"	"0"	
"27004008"	"神兽守护效果5：水系伤害减免9"	"受到伤害时，100%几率减少10%其中的水系伤害。持续[green]${0},8$[white]秒。每6秒触发1次"	"[[`aura`,27004008,0,`auraTime`]]"	"BuffAtlas"	"buff_hdlan"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"6"	"0"	"2"	"0"	"1"	"0"	"1"	"-1"	"0.000000"	"1000"	"0"	"27004008"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	""	"5"	"0"	"0"	
"27004009"	"神兽守护效果5：水系伤害减免10"	"受到伤害时，100%几率减少10%其中的水系伤害。持续[green]${0},8$[white]秒。每6秒触发1次"	"[[`aura`,27004009,0,`auraTime`]]"	"BuffAtlas"	"buff_hdlan"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"6"	"0"	"2"	"0"	"1"	"0"	"1"	"-1"	"0.000000"	"1000"	"0"	"27004009"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	""	"5"	"0"	"0"	
"27004100"	"神兽守护效果5：水系伤害减免表现1"	"受到伤害时，100%几率减少10%其中的火系伤害。持续[green]${0},8$[white]秒。每6秒触发1次"	"[[`aura`,27004100,0,`auraTime`]]"	"BuffAtlas"	"buff_hdlan"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"6"	"0"	"2"	"0"	"1"	"0"	"1"	"10000"	"0.000000"	"1000"	"0"	"27004100"	"-1"	"-1"	"-1"	"-1"	"-1"	"1039"	""	"5"	"0"	"0"	
"27004101"	"神兽守护效果5：水系伤害减免表现2"	"受到伤害时，100%几率减少10%其中的火系伤害。持续[green]${0},8$[white]秒。每6秒触发1次"	"[[`aura`,27004101,0,`auraTime`]]"	"BuffAtlas"	"buff_hdlan"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"6"	"0"	"2"	"0"	"1"	"0"	"1"	"10000"	"0.000000"	"1000"	"0"	"27004101"	"-1"	"-1"	"-1"	"-1"	"-1"	"1039"	""	"5"	"0"	"0"	
"27004102"	"神兽守护效果5：水系伤害减免表现3"	"受到伤害时，100%几率减少10%其中的火系伤害。持续[green]${0},8$[white]秒。每6秒触发1次"	"[[`aura`,27004102,0,`auraTime`]]"	"BuffAtlas"	"buff_hdlan"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"6"	"0"	"2"	"0"	"1"	"0"	"1"	"10000"	"0.000000"	"1000"	"0"	"27004102"	"-1"	"-1"	"-1"	"-1"	"-1"	"1039"	""	"5"	"0"	"0"	
"27004103"	"神兽守护效果5：水系伤害减免表现4"	"受到伤害时，100%几率减少10%其中的火系伤害。持续[green]${0},8$[white]秒。每6秒触发1次"	"[[`aura`,27004103,0,`auraTime`]]"	"BuffAtlas"	"buff_hdlan"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"6"	"0"	"2"	"0"	"1"	"0"	"1"	"10000"	"0.000000"	"1000"	"0"	"27004103"	"-1"	"-1"	"-1"	"-1"	"-1"	"1039"	""	"5"	"0"	"0"	
"27004104"	"神兽守护效果5：水系伤害减免表现5"	"受到伤害时，100%几率减少10%其中的火系伤害。持续[green]${0},8$[white]秒。每6秒触发1次"	"[[`aura`,27004104,0,`auraTime`]]"	"BuffAtlas"	"buff_hdlan"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"6"	"0"	"2"	"0"	"1"	"0"	"1"	"10000"	"0.000000"	"1000"	"0"	"27004104"	"-1"	"-1"	"-1"	"-1"	"-1"	"1039"	""	"5"	"0"	"0"	
"27004105"	"神兽守护效果5：水系伤害减免表现6"	"受到伤害时，100%几率减少10%其中的火系伤害。持续[green]${0},8$[white]秒。每6秒触发1次"	"[[`aura`,27004105,0,`auraTime`]]"	"BuffAtlas"	"buff_hdlan"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"6"	"0"	"2"	"0"	"1"	"0"	"1"	"10000"	"0.000000"	"1000"	"0"	"27004105"	"-1"	"-1"	"-1"	"-1"	"-1"	"1039"	""	"5"	"0"	"0"	
"27004106"	"神兽守护效果5：水系伤害减免表现7"	"受到伤害时，100%几率减少10%其中的火系伤害。持续[green]${0},8$[white]秒。每6秒触发1次"	"[[`aura`,27004106,0,`auraTime`]]"	"BuffAtlas"	"buff_hdlan"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"6"	"0"	"2"	"0"	"1"	"0"	"1"	"10000"	"0.000000"	"1000"	"0"	"27004106"	"-1"	"-1"	"-1"	"-1"	"-1"	"1039"	""	"5"	"0"	"0"	
"27004107"	"神兽守护效果5：水系伤害减免表现8"	"受到伤害时，100%几率减少10%其中的火系伤害。持续[green]${0},8$[white]秒。每6秒触发1次"	"[[`aura`,27004107,0,`auraTime`]]"	"BuffAtlas"	"buff_hdlan"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"6"	"0"	"2"	"0"	"1"	"0"	"1"	"10000"	"0.000000"	"1000"	"0"	"27004107"	"-1"	"-1"	"-1"	"-1"	"-1"	"1039"	""	"5"	"0"	"0"	
"27004108"	"神兽守护效果5：水系伤害减免表现9"	"受到伤害时，100%几率减少10%其中的火系伤害。持续[green]${0},8$[white]秒。每6秒触发1次"	"[[`aura`,27004108,0,`auraTime`]]"	"BuffAtlas"	"buff_hdlan"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"6"	"0"	"2"	"0"	"1"	"0"	"1"	"10000"	"0.000000"	"1000"	"0"	"27004108"	"-1"	"-1"	"-1"	"-1"	"-1"	"1039"	""	"5"	"0"	"0"	
"27004109"	"神兽守护效果5：水系伤害减免表现10"	"受到伤害时，100%几率减少10%其中的土系伤害。持续[green]${0},8$[white]秒。每6秒触发1次"	"[[`aura`,27004109,0,`auraTime`]]"	"BuffAtlas"	"buff_hdlan"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"6"	"0"	"2"	"0"	"1"	"0"	"1"	"10000"	"0.000000"	"1000"	"0"	"27004109"	"-1"	"-1"	"-1"	"-1"	"-1"	"1039"	""	"5"	"0"	"0"	
"27005000"	"神兽守护效果6：反弹伤害1"	"受到伤害时，100%几率反弹本次敌人对你造成的伤害的90%，持续[green]${0},8$[white]秒。每秒最多触发1次"	"[[`aura`,27005000,0,`auraTime`]]"	"BuffAtlas"	"newbuff4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"6"	"0"	"2"	"0"	"1"	"0"	"1"	"-1"	"0.000000"	"1000"	"0"	"27005000"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	""	"5"	"0"	"0"	
"27005001"	"神兽守护效果6：反弹伤害2"	"受到伤害时，100%几率反弹本次敌人对你造成的伤害的90%，持续[green]${0},8$[white]秒。每秒最多触发1次"	"[[`aura`,27005001,0,`auraTime`]]"	"BuffAtlas"	"newbuff4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"6"	"0"	"2"	"0"	"1"	"0"	"1"	"-1"	"0.000000"	"1000"	"0"	"27005001"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	""	"5"	"0"	"0"	
"27005002"	"神兽守护效果6：反弹伤害3"	"受到伤害时，100%几率反弹本次敌人对你造成的伤害的90%，持续[green]${0},8$[white]秒。每秒最多触发1次"	"[[`aura`,27005002,0,`auraTime`]]"	"BuffAtlas"	"newbuff4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"6"	"0"	"2"	"0"	"1"	"0"	"1"	"-1"	"0.000000"	"1000"	"0"	"27005002"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	""	"5"	"0"	"0"	
"27005003"	"神兽守护效果6：反弹伤害4"	"受到伤害时，100%几率反弹本次敌人对你造成的伤害的90%，持续[green]${0},8$[white]秒。每秒最多触发1次"	"[[`aura`,27005003,0,`auraTime`]]"	"BuffAtlas"	"newbuff4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"6"	"0"	"2"	"0"	"1"	"0"	"1"	"-1"	"0.000000"	"1000"	"0"	"27005003"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	""	"5"	"0"	"0"	
"27005004"	"神兽守护效果6：反弹伤害5"	"受到伤害时，100%几率反弹本次敌人对你造成的伤害的90%，持续[green]${0},8$[white]秒。每秒最多触发1次"	"[[`aura`,27005004,0,`auraTime`]]"	"BuffAtlas"	"newbuff4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"6"	"0"	"2"	"0"	"1"	"0"	"1"	"-1"	"0.000000"	"1000"	"0"	"27005004"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	""	"5"	"0"	"0"	
"27005005"	"神兽守护效果6：反弹伤害6"	"受到伤害时，100%几率反弹本次敌人对你造成的伤害的90%，持续[green]${0},8$[white]秒。每秒最多触发1次"	"[[`aura`,27005005,0,`auraTime`]]"	"BuffAtlas"	"newbuff4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"6"	"0"	"2"	"0"	"1"	"0"	"1"	"-1"	"0.000000"	"1000"	"0"	"27005005"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	""	"5"	"0"	"0"	
"27005006"	"神兽守护效果6：反弹伤害7"	"受到伤害时，100%几率反弹本次敌人对你造成的伤害的90%，持续[green]${0},8$[white]秒。每秒最多触发1次"	"[[`aura`,27005006,0,`auraTime`]]"	"BuffAtlas"	"newbuff4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"6"	"0"	"2"	"0"	"1"	"0"	"1"	"-1"	"0.000000"	"1000"	"0"	"27005006"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	""	"5"	"0"	"0"	
"27005007"	"神兽守护效果6：反弹伤害8"	"受到伤害时，100%几率反弹本次敌人对你造成的伤害的90%，持续[green]${0},8$[white]秒。每秒最多触发1次"	"[[`aura`,27005007,0,`auraTime`]]"	"BuffAtlas"	"newbuff4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"6"	"0"	"2"	"0"	"1"	"0"	"1"	"-1"	"0.000000"	"1000"	"0"	"27005007"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	""	"5"	"0"	"0"	
"27005008"	"神兽守护效果6：反弹伤害9"	"受到伤害时，100%几率反弹本次敌人对你造成的伤害的90%，持续[green]${0},8$[white]秒。每秒最多触发1次"	"[[`aura`,27005008,0,`auraTime`]]"	"BuffAtlas"	"newbuff4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"6"	"0"	"2"	"0"	"1"	"0"	"1"	"-1"	"0.000000"	"1000"	"0"	"27005008"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	""	"5"	"0"	"0"	
"27005009"	"神兽守护效果6：反弹伤害10"	"受到伤害时，100%几率反弹本次敌人对你造成的伤害的90%，持续[green]${0},8$[white]秒。每秒最多触发1次"	"[[`aura`,27005009,0,`auraTime`]]"	"BuffAtlas"	"newbuff4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"6"	"0"	"2"	"0"	"1"	"0"	"1"	"-1"	"0.000000"	"1000"	"0"	"27005009"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	""	"5"	"0"	"0"	
"27005100"	"神兽守护效果6：反弹伤害表现1"	"受到伤害时，100%几率反弹本次敌人对你造成的伤害的90%，持续[green]${0},8$[white]秒。每秒最多触发1次"	"[[`aura`,27005100,0,`auraTime`]]"	"BuffAtlas"	"newbuff4"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"6"	"0"	"2"	"0"	"1"	"0"	"1"	"10000"	"0.000000"	"1000"	"0"	"27005100"	"-1"	"-1"	"-1"	"-1"	"-1"	"1044"	""	"5"	"0"	"0"	
"27005101"	"神兽守护效果6：反弹伤害表现2"	"受到伤害时，100%几率反弹本次敌人对你造成的伤害的90%，持续[green]${0},8$[white]秒。每秒最多触发1次"	"[[`aura`,27005101,0,`auraTime`]]"	"BuffAtlas"	"newbuff4"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"6"	"0"	"2"	"0"	"1"	"0"	"1"	"10000"	"0.000000"	"1000"	"0"	"27005101"	"-1"	"-1"	"-1"	"-1"	"-1"	"1044"	""	"5"	"0"	"0"	
"27005102"	"神兽守护效果6：反弹伤害表现3"	"受到伤害时，100%几率反弹本次敌人对你造成的伤害的90%，持续[green]${0},8$[white]秒。每秒最多触发1次"	"[[`aura`,27005102,0,`auraTime`]]"	"BuffAtlas"	"newbuff4"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"6"	"0"	"2"	"0"	"1"	"0"	"1"	"10000"	"0.000000"	"1000"	"0"	"27005102"	"-1"	"-1"	"-1"	"-1"	"-1"	"1044"	""	"5"	"0"	"0"	
"27005103"	"神兽守护效果6：反弹伤害表现4"	"受到伤害时，100%几率反弹本次敌人对你造成的伤害的90%，持续[green]${0},8$[white]秒。每秒最多触发1次"	"[[`aura`,27005103,0,`auraTime`]]"	"BuffAtlas"	"newbuff4"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"6"	"0"	"2"	"0"	"1"	"0"	"1"	"10000"	"0.000000"	"1000"	"0"	"27005103"	"-1"	"-1"	"-1"	"-1"	"-1"	"1044"	""	"5"	"0"	"0"	
"27005104"	"神兽守护效果6：反弹伤害表现5"	"受到伤害时，100%几率反弹本次敌人对你造成的伤害的90%，持续[green]${0},8$[white]秒。每秒最多触发1次"	"[[`aura`,27005104,0,`auraTime`]]"	"BuffAtlas"	"newbuff4"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"6"	"0"	"2"	"0"	"1"	"0"	"1"	"10000"	"0.000000"	"1000"	"0"	"27005104"	"-1"	"-1"	"-1"	"-1"	"-1"	"1044"	""	"5"	"0"	"0"	
"27005105"	"神兽守护效果6：反弹伤害表现6"	"受到伤害时，100%几率反弹本次敌人对你造成的伤害的90%，持续[green]${0},8$[white]秒。每秒最多触发1次"	"[[`aura`,27005105,0,`auraTime`]]"	"BuffAtlas"	"newbuff4"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"6"	"0"	"2"	"0"	"1"	"0"	"1"	"10000"	"0.000000"	"1000"	"0"	"27005105"	"-1"	"-1"	"-1"	"-1"	"-1"	"1044"	""	"5"	"0"	"0"	
"27005106"	"神兽守护效果6：反弹伤害表现7"	"受到伤害时，100%几率反弹本次敌人对你造成的伤害的90%，持续[green]${0},8$[white]秒。每秒最多触发1次"	"[[`aura`,27005106,0,`auraTime`]]"	"BuffAtlas"	"newbuff4"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"6"	"0"	"2"	"0"	"1"	"0"	"1"	"10000"	"0.000000"	"1000"	"0"	"27005106"	"-1"	"-1"	"-1"	"-1"	"-1"	"1044"	""	"5"	"0"	"0"	
"27005107"	"神兽守护效果6：反弹伤害表现8"	"受到伤害时，100%几率反弹本次敌人对你造成的伤害的90%，持续[green]${0},8$[white]秒。每秒最多触发1次"	"[[`aura`,27005107,0,`auraTime`]]"	"BuffAtlas"	"newbuff4"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"6"	"0"	"2"	"0"	"1"	"0"	"1"	"10000"	"0.000000"	"1000"	"0"	"27005107"	"-1"	"-1"	"-1"	"-1"	"-1"	"1044"	""	"5"	"0"	"0"	
"27005108"	"神兽守护效果6：反弹伤害表现9"	"受到伤害时，100%几率反弹本次敌人对你造成的伤害的90%，持续[green]${0},8$[white]秒。每秒最多触发1次"	"[[`aura`,27005108,0,`auraTime`]]"	"BuffAtlas"	"newbuff4"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"6"	"0"	"2"	"0"	"1"	"0"	"1"	"10000"	"0.000000"	"1000"	"0"	"27005108"	"-1"	"-1"	"-1"	"-1"	"-1"	"1044"	""	"5"	"0"	"0"	
"27005109"	"神兽守护效果6：反弹伤害表现10"	"受到伤害时，100%几率反弹本次敌人对你造成的伤害的90%，持续[green]${0},8$[white]秒。每秒最多触发1次"	"[[`aura`,27005109,0,`auraTime`]]"	"BuffAtlas"	"newbuff4"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"6"	"0"	"2"	"0"	"1"	"0"	"1"	"10000"	"0.000000"	"1000"	"0"	"27005109"	"-1"	"-1"	"-1"	"-1"	"-1"	"1044"	""	"5"	"0"	"0"	
"27006000"	"神兽守护效果7：吸血1"	"攻击敌人时，吸收造成伤害量的10%转化为治疗自身，持续[green]${0},8$[white]秒。"	"[[`aura`,27006000,0,`auraTime`]]"	"BuffAtlas"	"newbuff34"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"6"	"0"	"2"	"0"	"1"	"0"	"1"	"-1"	"0.000000"	"1000"	"0"	"27006000"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	""	"5"	"0"	"0"	
"27006001"	"神兽守护效果7：吸血2"	"攻击敌人时，吸收造成伤害量的10%转化为治疗自身，持续[green]${0},8$[white]秒。"	"[[`aura`,27006001,0,`auraTime`]]"	"BuffAtlas"	"newbuff34"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"6"	"0"	"2"	"0"	"1"	"0"	"1"	"-1"	"0.000000"	"1000"	"0"	"27006001"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	""	"5"	"0"	"0"	
"27006002"	"神兽守护效果7：吸血3"	"攻击敌人时，吸收造成伤害量的10%转化为治疗自身，持续[green]${0},8$[white]秒。"	"[[`aura`,27006002,0,`auraTime`]]"	"BuffAtlas"	"newbuff34"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"6"	"0"	"2"	"0"	"1"	"0"	"1"	"-1"	"0.000000"	"1000"	"0"	"27006002"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	""	"5"	"0"	"0"	
"27006003"	"神兽守护效果7：吸血4"	"攻击敌人时，吸收造成伤害量的10%转化为治疗自身，持续[green]${0},8$[white]秒。"	"[[`aura`,27006003,0,`auraTime`]]"	"BuffAtlas"	"newbuff34"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"6"	"0"	"2"	"0"	"1"	"0"	"1"	"-1"	"0.000000"	"1000"	"0"	"27006003"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	""	"5"	"0"	"0"	
"27006004"	"神兽守护效果7：吸血5"	"攻击敌人时，吸收造成伤害量的10%转化为治疗自身，持续[green]${0},8$[white]秒。"	"[[`aura`,27006004,0,`auraTime`]]"	"BuffAtlas"	"newbuff34"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"6"	"0"	"2"	"0"	"1"	"0"	"1"	"-1"	"0.000000"	"1000"	"0"	"27006004"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	""	"5"	"0"	"0"	
