"装备ID"	"装备说明，策划注释用，不读"	"指定需求部件1-武器，2-头盔，3-衣服，4-护肩，5-腰带，6-裤子，7-靴子，8-项链，9-护腕，10-左戒指，11-右戒指，12-饰品"	"区域底图及升阶提示暗/亮"	"阶段图标"	"属性1类型ID"	"属性1取值"	"属性1最小值"	"属性1最大值"	"属性2类型ID"	"属性2取值"	"属性2最小值"	"属性2最大值"	"属性3类型ID"	"属性3取值"	"属性3最小值"	"属性3最大值"	"低级道具"	"低级道具数量"	"中级道具"	"中级道具数量"	"高级道具"	"高级道具属性"	"固定属性指向EquipExttendEffect索引ID"	"属性1取值"	"固定属性2"	"属性2取值"	"固定属性3"	"属性3取值"	"固定属性4"	"属性4取值"	"固定属性5"	"属性5取值"	"固定属性6"	"属性6取值"	"固定属性7"	"属性7取值"	"固定属性8"	"属性8取值"	"固定属性9"	"属性9取值"	"固定属性10"	"属性10取值"	"附加属性品质等级(对应ItemEquipExtendRandom表）"	"附加属性条数"	"使用等级修正区间，固定装填0,0"	"物品等级修正区间，固定装填0,0"	"装备出未鉴定几率10000为100%品质和等级判断通过后，出现未鉴定的几率"	"附加属性生成规则，0为全随机1为全固定2为半固定时装必须1"	"魂链生成几率白，蓝，紫，金，橙"	"魂集合：绿=1白=2蓝=4紫=8黄=16橙=32红=64"	"额外魂几率"	"指定自身魂印"	"指定自身魂链"	"指定需求魂印"	
"5016"	"300级裤子"	"6"	"pic_equip_png,xilian_jin,pic_equip_png,di_jin,pic_equip_png,point_jin"	"pic_equip_png,jie4"	"1"	"17643.000000"	"2.000000"	"12.000000"	"2"	"26465.000000"	"3.000000"	"18.000000"	"14"	"5094.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"6001"	"1级靴子"	"7"	"pic_equip_png,xilian_lv,pic_equip_png,di_lv,pic_equip_png,point_lv"	"pic_equip_png,jie1"	"1"	"100.000000"	"2.000000"	"12.000000"	"0"	"3000.000000"	"100.000000"	"320.000000"	"10"	"30.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"6002"	"20级靴子"	"7"	"pic_equip_png,xilian_lv,pic_equip_png,di_lv,pic_equip_png,point_lv"	"pic_equip_png,jie1"	"1"	"200.000000"	"2.000000"	"12.000000"	"0"	"6000.000000"	"100.000000"	"320.000000"	"10"	"60.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"6003"	"40级靴子"	"7"	"pic_equip_png,xilian_lv,pic_equip_png,di_lv,pic_equip_png,point_lv"	"pic_equip_png,jie1"	"1"	"300.000000"	"2.000000"	"12.000000"	"0"	"9000.000000"	"100.000000"	"320.000000"	"10"	"90.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"6004"	"60级靴子"	"7"	"pic_equip_png,xilian_lv,pic_equip_png,di_lv,pic_equip_png,point_lv"	"pic_equip_png,jie1"	"1"	"483.000000"	"2.000000"	"12.000000"	"0"	"14500.000000"	"100.000000"	"320.000000"	"10"	"136.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"6005"	"80级靴子"	"7"	"pic_equip_png,xilian_lv,pic_equip_png,di_lv,pic_equip_png,point_lv"	"pic_equip_png,jie1"	"1"	"735.000000"	"2.000000"	"12.000000"	"0"	"22050.000000"	"100.000000"	"320.000000"	"10"	"211.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"6006"	"100级靴子"	"7"	"pic_equip_png,xilian_lan,pic_equip_png,di_lan,pic_equip_png,point_lan"	"pic_equip_png,jie2"	"1"	"1122.000000"	"2.000000"	"12.000000"	"0"	"33675.000000"	"100.000000"	"320.000000"	"10"	"330.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"6007"	"120级靴子"	"7"	"pic_equip_png,xilian_lan,pic_equip_png,di_lan,pic_equip_png,point_lan"	"pic_equip_png,jie2"	"1"	"1705.000000"	"2.000000"	"12.000000"	"0"	"51175.000000"	"100.000000"	"320.000000"	"10"	"532.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"6008"	"140级靴子"	"7"	"pic_equip_png,xilian_lan,pic_equip_png,di_lan,pic_equip_png,point_lan"	"pic_equip_png,jie2"	"1"	"2664.000000"	"2.000000"	"12.000000"	"0"	"79925.000000"	"100.000000"	"320.000000"	"10"	"808.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"6009"	"160级靴子"	"7"	"pic_equip_png,xilian_lan,pic_equip_png,di_lan,pic_equip_png,point_lan"	"pic_equip_png,jie2"	"1"	"4080.000000"	"2.000000"	"12.000000"	"0"	"122425.000000"	"100.000000"	"320.000000"	"10"	"1209.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"6010"	"180级靴子"	"7"	"pic_equip_png,xilian_lan,pic_equip_png,di_lan,pic_equip_png,point_lan"	"pic_equip_png,jie2"	"1"	"6164.000000"	"2.000000"	"12.000000"	"0"	"184925.000000"	"100.000000"	"320.000000"	"10"	"1710.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"6011"	"200级靴子"	"7"	"pic_equip_png,xilian_zi,pic_equip_png,di_zi,pic_equip_png,point_zi"	"pic_equip_png,jie3"	"1"	"8247.000000"	"2.000000"	"12.000000"	"0"	"247425.000000"	"100.000000"	"320.000000"	"10"	"2262.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"6012"	"220级靴子"	"7"	"pic_equip_png,xilian_zi,pic_equip_png,di_zi,pic_equip_png,point_zi"	"pic_equip_png,jie3"	"1"	"10330.000000"	"2.000000"	"12.000000"	"0"	"309925.000000"	"100.000000"	"320.000000"	"10"	"2863.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"6013"	"240级靴子"	"7"	"pic_equip_png,xilian_zi,pic_equip_png,di_zi,pic_equip_png,point_zi"	"pic_equip_png,jie3"	"1"	"12643.000000"	"2.000000"	"12.000000"	"0"	"379300.000000"	"100.000000"	"320.000000"	"10"	"3542.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"6014"	"260级靴子"	"7"	"pic_equip_png,xilian_zi,pic_equip_png,di_zi,pic_equip_png,point_zi"	"pic_equip_png,jie3"	"1"	"15143.000000"	"2.000000"	"12.000000"	"0"	"454300.000000"	"100.000000"	"320.000000"	"10"	"4293.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"6015"	"280级靴子"	"7"	"pic_equip_png,xilian_zi,pic_equip_png,di_zi,pic_equip_png,point_zi"	"pic_equip_png,jie3"	"1"	"17643.000000"	"2.000000"	"12.000000"	"0"	"529300.000000"	"100.000000"	"320.000000"	"10"	"5094.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"6016"	"300级靴子"	"7"	"pic_equip_png,xilian_jin,pic_equip_png,di_jin,pic_equip_png,point_jin"	"pic_equip_png,jie4"	"1"	"17643.000000"	"2.000000"	"12.000000"	"0"	"529300.000000"	"100.000000"	"320.000000"	"10"	"5094.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"7001"	"1级项链"	"8"	"pic_equip_png,xilian_lv,pic_equip_png,di_lv,pic_equip_png,point_lv"	"pic_equip_png,jie1"	"1"	"100.000000"	"2.000000"	"12.000000"	"0"	"3000.000000"	"100.000000"	"320.000000"	"12"	"30.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"7002"	"20级项链"	"8"	"pic_equip_png,xilian_lv,pic_equip_png,di_lv,pic_equip_png,point_lv"	"pic_equip_png,jie1"	"1"	"200.000000"	"2.000000"	"12.000000"	"0"	"6000.000000"	"100.000000"	"320.000000"	"12"	"60.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"7003"	"40级项链"	"8"	"pic_equip_png,xilian_lv,pic_equip_png,di_lv,pic_equip_png,point_lv"	"pic_equip_png,jie1"	"1"	"300.000000"	"2.000000"	"12.000000"	"0"	"9000.000000"	"100.000000"	"320.000000"	"12"	"90.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"7004"	"60级项链"	"8"	"pic_equip_png,xilian_lv,pic_equip_png,di_lv,pic_equip_png,point_lv"	"pic_equip_png,jie1"	"1"	"483.000000"	"2.000000"	"12.000000"	"0"	"14500.000000"	"100.000000"	"320.000000"	"12"	"136.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"7005"	"80级项链"	"8"	"pic_equip_png,xilian_lv,pic_equip_png,di_lv,pic_equip_png,point_lv"	"pic_equip_png,jie1"	"1"	"735.000000"	"2.000000"	"12.000000"	"0"	"22050.000000"	"100.000000"	"320.000000"	"12"	"211.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"7006"	"100级项链"	"8"	"pic_equip_png,xilian_lan,pic_equip_png,di_lan,pic_equip_png,point_lan"	"pic_equip_png,jie2"	"1"	"1122.000000"	"2.000000"	"12.000000"	"0"	"33675.000000"	"100.000000"	"320.000000"	"12"	"330.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"7007"	"120级项链"	"8"	"pic_equip_png,xilian_lan,pic_equip_png,di_lan,pic_equip_png,point_lan"	"pic_equip_png,jie2"	"1"	"1705.000000"	"2.000000"	"12.000000"	"0"	"51175.000000"	"100.000000"	"320.000000"	"12"	"532.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"7008"	"140级项链"	"8"	"pic_equip_png,xilian_lan,pic_equip_png,di_lan,pic_equip_png,point_lan"	"pic_equip_png,jie2"	"1"	"2664.000000"	"2.000000"	"12.000000"	"0"	"79925.000000"	"100.000000"	"320.000000"	"12"	"808.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"7009"	"160级项链"	"8"	"pic_equip_png,xilian_lan,pic_equip_png,di_lan,pic_equip_png,point_lan"	"pic_equip_png,jie2"	"1"	"4080.000000"	"2.000000"	"12.000000"	"0"	"122425.000000"	"100.000000"	"320.000000"	"12"	"1209.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"7010"	"180级项链"	"8"	"pic_equip_png,xilian_lan,pic_equip_png,di_lan,pic_equip_png,point_lan"	"pic_equip_png,jie2"	"1"	"6164.000000"	"2.000000"	"12.000000"	"0"	"184925.000000"	"100.000000"	"320.000000"	"12"	"1710.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"7011"	"200级项链"	"8"	"pic_equip_png,xilian_zi,pic_equip_png,di_zi,pic_equip_png,point_zi"	"pic_equip_png,jie3"	"1"	"8247.000000"	"2.000000"	"12.000000"	"0"	"247425.000000"	"100.000000"	"320.000000"	"12"	"2262.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"7012"	"220级项链"	"8"	"pic_equip_png,xilian_zi,pic_equip_png,di_zi,pic_equip_png,point_zi"	"pic_equip_png,jie3"	"1"	"10330.000000"	"2.000000"	"12.000000"	"0"	"309925.000000"	"100.000000"	"320.000000"	"12"	"2863.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"7013"	"240级项链"	"8"	"pic_equip_png,xilian_zi,pic_equip_png,di_zi,pic_equip_png,point_zi"	"pic_equip_png,jie3"	"1"	"12643.000000"	"2.000000"	"12.000000"	"0"	"379300.000000"	"100.000000"	"320.000000"	"12"	"3542.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"7014"	"260级项链"	"8"	"pic_equip_png,xilian_zi,pic_equip_png,di_zi,pic_equip_png,point_zi"	"pic_equip_png,jie3"	"1"	"15143.000000"	"2.000000"	"12.000000"	"0"	"454300.000000"	"100.000000"	"320.000000"	"12"	"4293.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"7015"	"280级项链"	"8"	"pic_equip_png,xilian_zi,pic_equip_png,di_zi,pic_equip_png,point_zi"	"pic_equip_png,jie3"	"1"	"17643.000000"	"2.000000"	"12.000000"	"0"	"529300.000000"	"100.000000"	"320.000000"	"12"	"5094.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"7016"	"300级项链"	"8"	"pic_equip_png,xilian_jin,pic_equip_png,di_jin,pic_equip_png,point_jin"	"pic_equip_png,jie4"	"1"	"17643.000000"	"2.000000"	"12.000000"	"0"	"529300.000000"	"100.000000"	"320.000000"	"12"	"5094.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"8001"	"1级护腕"	"9"	"pic_equip_png,xilian_lv,pic_equip_png,di_lv,pic_equip_png,point_lv"	"pic_equip_png,jie1"	"1"	"100.000000"	"2.000000"	"12.000000"	"2"	"150.000000"	"3.000000"	"18.000000"	"18"	"30.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"8002"	"20级护腕"	"9"	"pic_equip_png,xilian_lv,pic_equip_png,di_lv,pic_equip_png,point_lv"	"pic_equip_png,jie1"	"1"	"200.000000"	"2.000000"	"12.000000"	"2"	"300.000000"	"3.000000"	"18.000000"	"18"	"60.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"8003"	"40级护腕"	"9"	"pic_equip_png,xilian_lv,pic_equip_png,di_lv,pic_equip_png,point_lv"	"pic_equip_png,jie1"	"1"	"300.000000"	"2.000000"	"12.000000"	"2"	"450.000000"	"3.000000"	"18.000000"	"18"	"90.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"8004"	"60级护腕"	"9"	"pic_equip_png,xilian_lv,pic_equip_png,di_lv,pic_equip_png,point_lv"	"pic_equip_png,jie1"	"1"	"483.000000"	"2.000000"	"12.000000"	"2"	"725.000000"	"3.000000"	"18.000000"	"18"	"136.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"8005"	"80级护腕"	"9"	"pic_equip_png,xilian_lv,pic_equip_png,di_lv,pic_equip_png,point_lv"	"pic_equip_png,jie1"	"1"	"735.000000"	"2.000000"	"12.000000"	"2"	"1102.000000"	"3.000000"	"18.000000"	"18"	"211.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"8006"	"100级护腕"	"9"	"pic_equip_png,xilian_lan,pic_equip_png,di_lan,pic_equip_png,point_lan"	"pic_equip_png,jie2"	"1"	"1122.000000"	"2.000000"	"12.000000"	"2"	"1683.000000"	"3.000000"	"18.000000"	"18"	"330.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"8007"	"120级护腕"	"9"	"pic_equip_png,xilian_lan,pic_equip_png,di_lan,pic_equip_png,point_lan"	"pic_equip_png,jie2"	"1"	"1705.000000"	"2.000000"	"12.000000"	"2"	"2558.000000"	"3.000000"	"18.000000"	"18"	"532.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"8008"	"140级护腕"	"9"	"pic_equip_png,xilian_lan,pic_equip_png,di_lan,pic_equip_png,point_lan"	"pic_equip_png,jie2"	"1"	"2664.000000"	"2.000000"	"12.000000"	"2"	"3996.000000"	"3.000000"	"18.000000"	"18"	"808.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"8009"	"160级护腕"	"9"	"pic_equip_png,xilian_lan,pic_equip_png,di_lan,pic_equip_png,point_lan"	"pic_equip_png,jie2"	"1"	"4080.000000"	"2.000000"	"12.000000"	"2"	"6121.000000"	"3.000000"	"18.000000"	"18"	"1209.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"8010"	"180级护腕"	"9"	"pic_equip_png,xilian_lan,pic_equip_png,di_lan,pic_equip_png,point_lan"	"pic_equip_png,jie2"	"1"	"6164.000000"	"2.000000"	"12.000000"	"2"	"9246.000000"	"3.000000"	"18.000000"	"18"	"1710.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"8011"	"200级护腕"	"9"	"pic_equip_png,xilian_zi,pic_equip_png,di_zi,pic_equip_png,point_zi"	"pic_equip_png,jie3"	"1"	"8247.000000"	"2.000000"	"12.000000"	"2"	"12371.000000"	"3.000000"	"18.000000"	"18"	"2262.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"8012"	"220级护腕"	"9"	"pic_equip_png,xilian_zi,pic_equip_png,di_zi,pic_equip_png,point_zi"	"pic_equip_png,jie3"	"1"	"10330.000000"	"2.000000"	"12.000000"	"2"	"15496.000000"	"3.000000"	"18.000000"	"18"	"2863.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"8013"	"240级护腕"	"9"	"pic_equip_png,xilian_zi,pic_equip_png,di_zi,pic_equip_png,point_zi"	"pic_equip_png,jie3"	"1"	"12643.000000"	"2.000000"	"12.000000"	"2"	"18965.000000"	"3.000000"	"18.000000"	"18"	"3542.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"8014"	"260级护腕"	"9"	"pic_equip_png,xilian_zi,pic_equip_png,di_zi,pic_equip_png,point_zi"	"pic_equip_png,jie3"	"1"	"15143.000000"	"2.000000"	"12.000000"	"2"	"22715.000000"	"3.000000"	"18.000000"	"18"	"4293.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"8015"	"280级护腕"	"9"	"pic_equip_png,xilian_zi,pic_equip_png,di_zi,pic_equip_png,point_zi"	"pic_equip_png,jie3"	"1"	"17643.000000"	"2.000000"	"12.000000"	"2"	"26465.000000"	"3.000000"	"18.000000"	"18"	"5094.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"8016"	"300级护腕"	"9"	"pic_equip_png,xilian_jin,pic_equip_png,di_jin,pic_equip_png,point_jin"	"pic_equip_png,jie4"	"1"	"17643.000000"	"2.000000"	"12.000000"	"2"	"26465.000000"	"3.000000"	"18.000000"	"18"	"5094.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"9001"	"1级左戒指"	"10"	"pic_equip_png,xilian_lv,pic_equip_png,di_lv,pic_equip_png,point_lv"	"pic_equip_png,jie1"	"1"	"100.000000"	"2.000000"	"12.000000"	"0"	"3000.000000"	"100.000000"	"320.000000"	"16"	"30.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"9002"	"20级左戒指"	"10"	"pic_equip_png,xilian_lv,pic_equip_png,di_lv,pic_equip_png,point_lv"	"pic_equip_png,jie1"	"1"	"200.000000"	"2.000000"	"12.000000"	"0"	"6000.000000"	"100.000000"	"320.000000"	"16"	"60.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"9003"	"40级左戒指"	"10"	"pic_equip_png,xilian_lv,pic_equip_png,di_lv,pic_equip_png,point_lv"	"pic_equip_png,jie1"	"1"	"300.000000"	"2.000000"	"12.000000"	"0"	"9000.000000"	"100.000000"	"320.000000"	"16"	"90.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"9004"	"60级左戒指"	"10"	"pic_equip_png,xilian_lv,pic_equip_png,di_lv,pic_equip_png,point_lv"	"pic_equip_png,jie1"	"1"	"483.000000"	"2.000000"	"12.000000"	"0"	"14500.000000"	"100.000000"	"320.000000"	"16"	"136.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"9005"	"80级左戒指"	"10"	"pic_equip_png,xilian_lv,pic_equip_png,di_lv,pic_equip_png,point_lv"	"pic_equip_png,jie1"	"1"	"735.000000"	"2.000000"	"12.000000"	"0"	"22050.000000"	"100.000000"	"320.000000"	"16"	"211.000000"	"1.000000"	"3.000000"	"100035"	"3"	"100036"	"2"	"100037"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
