"特殊掉落ID"	"掉落包描述"	"职业限制(1=对战士可掉;2=对弓手可掉;4=对法师可掉;7=对所有职业可掉)"	"节日特殊掉落1=圣诞"	"击杀者等级限制"	"击杀者变量条件变量,区间1,2区间1：0=挂机迷城，用逗号分隔需要其他和必焕说区间2：挂机迷城击杀怪物数量上下限，用逗号分隔"	"掉落数量"	"掉落1"	"掉落2"	"掉落3"	"掉落4"	"掉落5"	"掉落6"	"掉落7"	"掉落8"	"掉落9"	"掉落10"	"掉落11"	"掉落12"	"掉落13"	"掉落14"	"掉落15"	"掉落16"	"掉落17"	"掉落18"	"掉落19"	"掉落20"	"掉落21"	"掉落22"	"掉落23"	"掉落24"	"掉落25"	"掉落26"	"掉落27"	"掉落28"	"掉落29"	"掉落30"	""	""	""	""	""	""	""	""	""	""	
"1018102"	"280级绿装平分天威"	"2"	""	""	""	"1"	"1,20811004,100"	"1,20811005,100"	"1,20811006,100"	"1,20811007,100"	"1,20811008,100"	"1,20811009,100"	"1,20811010,100"	"1,20811011,100"	""	""	""	""	"1,20811201,100"	"1,20811202,100"	"1,20811203,100"	"1,20811212,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1018103"	"280级绿装平分云锦"	"4"	""	""	""	"1"	"1,20811004,100"	"1,20811005,100"	"1,20811006,100"	"1,20811007,100"	"1,20811008,100"	"1,20811009,100"	"1,20811010,100"	"1,20811011,100"	""	""	""	""	""	""	""	""	"1,20811301,100"	"1,20811302,100"	"1,20811303,100"	"1,20811312,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1018200"	"280级蓝装平分"	"7"	""	""	""	"1"	"2,1018201,100"	"2,1018202,100"	"2,1018203,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1018201"	"280级蓝装平分转剑"	"1"	""	""	""	"1"	"1,20821004,100"	"1,20821005,100"	"1,20821006,100"	"1,20821007,100"	"1,20821008,100"	"1,20821009,100"	"1,20821010,100"	"1,20821011,100"	"1,20821101,100"	"1,20821102,100"	"1,20821103,100"	"1,20821112,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1018202"	"280级蓝装平分天威"	"2"	""	""	""	"1"	"1,20821004,100"	"1,20821005,100"	"1,20821006,100"	"1,20821007,100"	"1,20821008,100"	"1,20821009,100"	"1,20821010,100"	"1,20821011,100"	""	""	""	""	"1,20821201,100"	"1,20821202,100"	"1,20821203,100"	"1,20821212,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1018203"	"280级蓝装平分云锦"	"4"	""	""	""	"1"	"1,20821004,100"	"1,20821005,100"	"1,20821006,100"	"1,20821007,100"	"1,20821008,100"	"1,20821009,100"	"1,20821010,100"	"1,20821011,100"	""	""	""	""	""	""	""	""	"1,20821301,100"	"1,20821302,100"	"1,20821303,100"	"1,20821312,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1018300"	"280级紫装平分"	"7"	""	""	""	"1"	"2,1018301,100"	"2,1018302,100"	"2,1018303,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1018301"	"280级紫装平分转剑"	"1"	""	""	""	"1"	"1,20831004,100"	"1,20831005,100"	"1,20831006,100"	"1,20831007,100"	"1,20831008,100"	"1,20831009,100"	"1,20831010,100"	"1,20831011,100"	"1,20831101,100"	"1,20831102,100"	"1,20831103,100"	"1,20831112,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1018302"	"280级紫装平分天威"	"2"	""	""	""	"1"	"1,20831004,100"	"1,20831005,100"	"1,20831006,100"	"1,20831007,100"	"1,20831008,100"	"1,20831009,100"	"1,20831010,100"	"1,20831011,100"	""	""	""	""	"1,20831201,100"	"1,20831202,100"	"1,20831203,100"	"1,20831212,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1018303"	"280级紫装平分云锦"	"4"	""	""	""	"1"	"1,20831004,100"	"1,20831005,100"	"1,20831006,100"	"1,20831007,100"	"1,20831008,100"	"1,20831009,100"	"1,20831010,100"	"1,20831011,100"	""	""	""	""	""	""	""	""	"1,20831301,100"	"1,20831302,100"	"1,20831303,100"	"1,20831312,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1018400"	"280级金装平分"	"7"	""	""	""	"1"	"2,1018401,100"	"2,1018402,100"	"2,1018403,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1018401"	"280级金装平分转剑"	"1"	""	""	""	"1"	"1,20841004,100"	"1,20841005,100"	"1,20841006,100"	"1,20841007,100"	"1,20841008,100"	"1,20841009,100"	"1,20841010,100"	"1,20841011,100"	"1,20841101,100"	"1,20841102,100"	"1,20841103,100"	"1,20841112,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1018402"	"280级金装平分天威"	"2"	""	""	""	"1"	"1,20841004,100"	"1,20841005,100"	"1,20841006,100"	"1,20841007,100"	"1,20841008,100"	"1,20841009,100"	"1,20841010,100"	"1,20841011,100"	""	""	""	""	"1,20841201,100"	"1,20841202,100"	"1,20841203,100"	"1,20841212,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1018403"	"280级金装平分云锦"	"4"	""	""	""	"1"	"1,20841004,100"	"1,20841005,100"	"1,20841006,100"	"1,20841007,100"	"1,20841008,100"	"1,20841009,100"	"1,20841010,100"	"1,20841011,100"	""	""	""	""	""	""	""	""	"1,20841301,100"	"1,20841302,100"	"1,20841303,100"	"1,20841312,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1018500"	"280级橙装平分"	"7"	""	""	""	"1"	"2,1018501,100"	"2,1018502,100"	"2,1018503,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1018501"	"280级橙装平分转剑"	"1"	""	""	""	"1"	"1,20851004,100"	"1,20851005,100"	"1,20851006,100"	"1,20851007,100"	"1,20851008,100"	"1,20851009,100"	"1,20851010,100"	"1,20851011,100"	"1,20851101,100"	"1,20851102,100"	"1,20851103,100"	"1,20851112,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1018502"	"280级橙装平分天威"	"2"	""	""	""	"1"	"1,20851004,100"	"1,20851005,100"	"1,20851006,100"	"1,20851007,100"	"1,20851008,100"	"1,20851009,100"	"1,20851010,100"	"1,20851011,100"	""	""	""	""	"1,20851201,100"	"1,20851202,100"	"1,20851203,100"	"1,20851212,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1018503"	"280级橙装平分云锦"	"4"	""	""	""	"1"	"1,20851004,100"	"1,20851005,100"	"1,20851006,100"	"1,20851007,100"	"1,20851008,100"	"1,20851009,100"	"1,20851010,100"	"1,20851011,100"	""	""	""	""	""	""	""	""	"1,20851301,100"	"1,20851302,100"	"1,20851303,100"	"1,20851312,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1018520"	"280级橙套装平分"	"7"	""	""	""	"1"	"2,1018521,100"	"2,1018522,100"	"2,1018523,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1018521"	"280级橙套装平分转剑"	"1"	""	""	""	"1"	"1,20852004,100"	"1,20852005,100"	"1,20852006,100"	"1,20852007,100"	"1,20852008,100"	"1,20852009,100"	"1,20852010,100"	"1,20852011,100"	"1,20852101,100"	"1,20852102,100"	"1,20852103,100"	"1,20852112,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1018522"	"280级橙套装平分天威"	"2"	""	""	""	"1"	"1,20852004,100"	"1,20852005,100"	"1,20852006,100"	"1,20852007,100"	"1,20852008,100"	"1,20852009,100"	"1,20852010,100"	"1,20852011,100"	""	""	""	""	"1,20852201,100"	"1,20852202,100"	"1,20852203,100"	"1,20852212,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1018523"	"280级橙套装平分云锦"	"4"	""	""	""	"1"	"1,20852004,100"	"1,20852005,100"	"1,20852006,100"	"1,20852007,100"	"1,20852008,100"	"1,20852009,100"	"1,20852010,100"	"1,20852011,100"	""	""	""	""	""	""	""	""	"1,20852301,100"	"1,20852302,100"	"1,20852303,100"	"1,20852312,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1020100"	"养成线属性丹平分"	"7"	""	""	""	"1"	"1,110103,1000"	"1,110203,1000"	"1,110303,500"	"1,110403,500"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1020101"	"精华平分"	"7"	""	""	""	"1"	"1,100081,1000"	"1,100082,1000"	"1,100083,1000"	"1,100084,1000"	"1,100085,1000"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1020102"	"免费法宝碎片及水晶"	"7"	""	""	""	"1"	"1,550030,10"	"1,550050,10"	"1,550060,10"	"1,550070,10"	"1,550080,10"	"1,550100,10"	"1,100043,5"	"1,100044,15"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1020201"	"1级宝石权重分配"	"7"	""	""	""	"1"	"1,700101,12"	"1,700102,18"	"1,700103,6"	"1,700104,4"	"1,700105,4"	"1,700106,4"	"1,700107,4"	"1,700108,4"	"1,700109,4"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1020202"	"2级宝石权重分配"	"7"	""	""	""	"1"	"1,700201,12"	"1,700202,18"	"1,700203,6"	"1,700204,4"	"1,700205,4"	"1,700206,4"	"1,700207,4"	"1,700208,4"	"1,700209,4"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1020203"	"3级宝石权重分配"	"7"	""	""	""	"1"	"1,700301,12"	"1,700302,18"	"1,700303,6"	"1,700304,4"	"1,700305,4"	"1,700306,4"	"1,700307,4"	"1,700308,4"	"1,700309,4"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1020204"	"4级宝石权重分配"	"7"	""	""	""	"1"	"1,700401,12"	"1,700402,18"	"1,700403,6"	"1,700404,4"	"1,700405,4"	"1,700406,4"	"1,700407,4"	"1,700408,4"	"1,700409,4"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1020205"	"5级宝石权重分配"	"7"	""	""	""	"1"	"1,700501,12"	"1,700502,18"	"1,700503,6"	"1,700504,4"	"1,700505,4"	"1,700506,4"	"1,700507,4"	"1,700508,4"	"1,700509,4"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1020206"	"6级宝石权重分配"	"7"	""	""	""	"1"	"1,700601,12"	"1,700602,18"	"1,700603,6"	"1,700604,4"	"1,700605,4"	"1,700606,4"	"1,700607,4"	"1,700608,4"	"1,700609,4"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1020207"	"7级宝石权重分配"	"7"	""	""	""	"1"	"1,700701,12"	"1,700702,18"	"1,700703,6"	"1,700704,4"	"1,700705,4"	"1,700706,4"	"1,700707,4"	"1,700708,4"	"1,700709,4"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1020208"	"8级宝石权重分配"	"7"	""	""	""	"1"	"1,700801,12"	"1,700802,18"	"1,700803,6"	"1,700804,4"	"1,700805,4"	"1,700806,4"	"1,700807,4"	"1,700808,4"	"1,700809,4"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1020209"	"9级宝石权重分配"	"7"	""	""	""	"1"	"1,700901,12"	"1,700902,18"	"1,700903,6"	"1,700904,4"	"1,700905,4"	"1,700906,4"	"1,700907,4"	"1,700908,4"	"1,700909,4"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1020210"	"10级宝石权重分配"	"7"	""	""	""	"1"	"1,701001,12"	"1,701002,18"	"1,701003,6"	"1,701004,4"	"1,701005,4"	"1,701006,4"	"1,701007,4"	"1,701008,4"	"1,701009,4"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1020301"	"1阶主角属性丹"	"7"	""	""	""	"1"	"1,808000,20"	"1,808001,10"	"1,808002,20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1020302"	"2阶主角属性丹"	"7"	""	""	""	"1"	"1,808003,20"	"1,808004,10"	"1,808005,20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1020303"	"3阶主角属性丹"	"7"	""	""	""	"1"	"1,808006,20"	"1,808007,10"	"1,808008,20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1020304"	"4阶主角属性丹"	"7"	""	""	""	"1"	"1,808009,20"	"1,808010,10"	"1,808011,20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1020305"	"5阶主角属性丹"	"7"	""	""	""	"1"	"1,808012,20"	"1,808013,10"	"1,808014,20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1020306"	"废弃，ID不可删"	"7"	""	""	""	"1"	"1,805601,10"	"1,805602,10"	"1,805603,10"	"1,805604,10"	"1,805605,10"	"1,805606,10"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1020307"	"废弃，ID不可删"	"7"	""	""	""	"1"	"1,805701,10"	"1,805702,10"	"1,805703,10"	"1,805704,10"	"1,805705,10"	"1,805706,10"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1020308"	"废弃，ID不可删"	"7"	""	""	""	"1"	"1,805801,10"	"1,805802,10"	"1,805803,10"	"1,805804,10"	"1,805805,10"	"1,805806,10"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1020309"	"废弃，ID不可删"	"7"	""	""	""	"1"	"1,805901,10"	"1,805902,10"	"1,805903,10"	"1,805904,10"	"1,805905,10"	"1,805906,10"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1020400"	"侍从卷轴平分"	"7"	""	""	""	"1"	"2,1020401,50"	"2,1020402,100"	"2,1020403,50"	"2,1020404,20"	"2,1020405,10"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1020401"	"1级侍从卷轴平分"	"7"	""	""	""	"1"	"1,100111,10"	"1,100112,10"	"1,100113,10"	"1,100114,10"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1020402"	"2级侍从卷轴平分"	"7"	""	""	""	"1"	"1,100121,10"	"1,100122,10"	"1,100123,10"	"1,100124,10"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1020403"	"3级侍从卷轴平分"	"7"	""	""	""	"1"	"1,100131,10"	"1,100132,10"	"1,100133,10"	"1,100134,10"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1020404"	"4级侍从卷轴平分"	"7"	""	""	""	"1"	"1,100141,10"	"1,100142,10"	"1,100143,10"	"1,100144,10"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1020405"	"5级侍从卷轴平分"	"7"	""	""	""	"1"	"1,100151,10"	"1,100152,10"	"1,100153,10"	"1,100154,10"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1020501"	"美食低级掉落"	"7"	""	""	""	"1"	"2,1020511,80"	"2,1020512,20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1020502"	"美食中级掉落"	"7"	""	""	""	"1"	"2,1020511,30"	"2,1020512,60"	"2,1020513,10"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1020503"	"美食高级掉落"	"7"	""	""	""	"1"	"2,1020512,45"	"2,1020513,50"	"1,808253,5"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1020511"	"美食低级材料平分"	"7"	""	""	""	"1"	"1,808250,10"	"1,808251,10"	"1,808252,10"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1020512"	"美食中级材料平分"	"7"	""	""	""	"1"	"1,808254,10"	"1,808255,11"	"1,808257,10"	"1,808258,11"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1020513"	"美食高级材料平分"	"7"	""	""	""	"1"	"1,808256,10"	"1,808259,10"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1032100"	"40级绿装平分"	"7"	""	""	""	"1"	"2,1032101,100"	"2,1032102,100"	"2,1032103,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1032101"	"40级绿装平分转剑"	"1"	""	""	""	"1"	""	""	""	""	"1,20211008,100"	"1,20211009,100"	"1,20211010,100"	"1,20211011,100"	""	""	"1,20211103,100"	"1,20211112,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1032102"	"40级绿装平分天威"	"2"	""	""	""	"1"	""	""	""	""	"1,20211008,100"	"1,20211009,100"	"1,20211010,100"	"1,20211011,100"	""	""	""	""	""	""	"1,20211203,100"	"1,20211212,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1032103"	"40级绿装平分云锦"	"4"	""	""	""	"1"	""	""	""	""	"1,20211008,100"	"1,20211009,100"	"1,20211010,100"	"1,20211011,100"	""	""	""	""	""	""	""	""	""	""	"1,20211303,100"	"1,20211312,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1032200"	"40级蓝装平分"	"7"	""	""	""	"1"	"2,1032201,100"	"2,1032202,100"	"2,1032203,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1032201"	"40级蓝装平分转剑"	"1"	""	""	""	"1"	""	""	""	""	"1,20221008,100"	"1,20221009,100"	"1,20221010,100"	"1,20221011,100"	""	""	"1,20221103,100"	"1,20221112,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1032202"	"40级蓝装平分天威"	"2"	""	""	""	"1"	""	""	""	""	"1,20221008,100"	"1,20221009,100"	"1,20221010,100"	"1,20221011,100"	""	""	""	""	""	""	"1,20221203,100"	"1,20221212,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1032203"	"40级蓝装平分云锦"	"4"	""	""	""	"1"	""	""	""	""	"1,20221008,100"	"1,20221009,100"	"1,20221010,100"	"1,20221011,100"	""	""	""	""	""	""	""	""	""	""	"1,20221303,100"	"1,20221312,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1032300"	"40级紫装平分"	"7"	""	""	""	"1"	"2,1032301,100"	"2,1032302,100"	"2,1032303,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1032301"	"40级紫装平分转剑"	"1"	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	"1,20231103,100"	"1,20231112,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1032302"	"40级紫装平分天威"	"2"	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1,20231203,100"	"1,20231212,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1032303"	"40级紫装平分云锦"	"4"	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1,20231303,100"	"1,20231312,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1033200"	"80级蓝装平分"	"7"	""	""	""	"1"	"2,1033201,100"	"2,1033202,100"	"2,1033203,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1033201"	"80级蓝装平分转剑"	"1"	""	""	""	"1"	""	""	""	""	"1,20321008,100"	"1,20321009,100"	"1,20321010,100"	"1,20321011,100"	""	""	"1,20321103,100"	"1,20321112,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1033202"	"80级蓝装平分天威"	"2"	""	""	""	"1"	""	""	""	""	"1,20321008,100"	"1,20321009,100"	"1,20321010,100"	"1,20321011,100"	""	""	""	""	""	""	"1,20321203,100"	"1,20321212,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1033203"	"80级蓝装平分云锦"	"4"	""	""	""	"1"	""	""	""	""	"1,20321008,100"	"1,20321009,100"	"1,20321010,100"	"1,20321011,100"	""	""	""	""	""	""	""	""	""	""	"1,20321303,100"	"1,20321312,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1033300"	"80级紫装平分"	"7"	""	""	""	"1"	"2,1033301,100"	"2,1033302,100"	"2,1033303,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1033301"	"80级紫装平分转剑"	"1"	""	""	""	"1"	""	""	""	""	"1,20331008,100"	"1,20331009,100"	""	""	""	""	"1,20331103,100"	"1,20331112,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1033302"	"80级紫装平分天威"	"2"	""	""	""	"1"	""	""	""	""	"1,20331008,100"	"1,20331009,100"	""	""	""	""	""	""	""	""	"1,20331203,100"	"1,20331212,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1033303"	"80级紫装平分云锦"	"4"	""	""	""	"1"	""	""	""	""	"1,20331008,100"	"1,20331009,100"	""	""	""	""	""	""	""	""	""	""	""	""	"1,20331303,100"	"1,20331312,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1033400"	"80级金装平分"	"7"	""	""	""	"1"	"2,1033401,100"	"2,1033402,100"	"2,1033403,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1033401"	"80级金装平分转剑"	"1"	""	""	""	"1"	""	""	""	""	"1,20341008,100"	"1,20341009,100"	"1,20341010,100"	"1,20341011,100"	""	""	"1,20341103,100"	"1,20341112,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1033402"	"80级金装平分天威"	"2"	""	""	""	"1"	""	""	""	""	"1,20341008,100"	"1,20341009,100"	"1,20341010,100"	"1,20341011,100"	""	""	""	""	""	""	"1,20341203,100"	"1,20341212,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1033403"	"80级金装平分云锦"	"4"	""	""	""	"1"	""	""	""	""	"1,20341008,100"	"1,20341009,100"	"1,20341010,100"	"1,20341011,100"	""	""	""	""	""	""	""	""	""	""	"1,20341303,100"	"1,20341312,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1033420"	"80级金套装平分"	"7"	""	""	""	"1"	"2,1033421,100"	"2,1033422,100"	"2,1033423,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1033421"	"80级金套装平分转剑"	"1"	""	""	""	"1"	""	""	""	""	"1,20342008,100"	"1,20342009,100"	"1,20342010,100"	"1,20342011,100"	""	""	"1,20342103,100"	"1,20342112,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1033422"	"80级金套装平分天威"	"2"	""	""	""	"1"	""	""	""	""	"1,20342008,100"	"1,20342009,100"	"1,20342010,100"	"1,20342011,100"	""	""	""	""	""	""	"1,20342203,100"	"1,20342212,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
