"模板ID"	"升星等级"	"基础属性1"	"基础属性1数值"	"基础属性2"	"基础属性2数值"	"升星几率"	"元宝数量"	"道具1"	"道具数量"	"道具2"	"道具数量"	"铜币数量"	"回收经验"	"返还铜币"	"返还道具1"	"返还数量"	"返还道具2"	"返还数量"	"返还道具3"	"返还数量"	
"54000604"	"4"	"2"	"11262.000000"	"14"	"1125.000000"	"0.750000"	"67"	"100039"	"200"	"-1"	"-1"	"120000"	"25"	"120000"	"100039"	"200"	""	""	""	""	
"54000605"	"5"	"2"	"12242.000000"	"14"	"1223.000000"	"0.700000"	"43"	"100040"	"40"	"-1"	"-1"	"144000"	"25"	"180000"	"100039"	"300"	""	""	""	""	
"54000606"	"6"	"2"	"13711.000000"	"14"	"1370.000000"	"0.650000"	"81"	"100040"	"60"	"-1"	"-1"	"168000"	"25"	"252000"	"100039"	"300"	"100040"	"32"	""	""	
"54000607"	"7"	"2"	"15180.000000"	"14"	"1517.000000"	"0.600000"	"134"	"100040"	"80"	"-1"	"-1"	"192000"	"25"	"336000"	"100039"	"300"	"100040"	"80"	""	""	
"54000608"	"8"	"2"	"16649.000000"	"14"	"1664.000000"	"0.550000"	"205"	"100040"	"100"	"-1"	"-1"	"216000"	"25"	"432000"	"100039"	"300"	"100040"	"144"	""	""	
"54000609"	"9"	"2"	"18118.000000"	"14"	"1811.000000"	"0.500000"	"300"	"100040"	"120"	"-1"	"-1"	"240000"	"25"	"540000"	"100039"	"300"	"100040"	"224"	""	""	
"54000610"	"10"	"2"	"19587.000000"	"14"	"1958.000000"	"0.500000"	"480"	"100041"	"32"	"-1"	"-1"	"264000"	"25"	"660000"	"100039"	"300"	"100040"	"320"	""	""	
"54000611"	"11"	"2"	"22036.000000"	"14"	"2203.000000"	"0.500000"	"690"	"100041"	"40"	"-1"	"-1"	"288000"	"25"	"792000"	"100039"	"300"	"100040"	"320"	"100041"	"32"	
"54000612"	"12"	"2"	"24484.000000"	"14"	"2447.000000"	"0.500000"	"1008"	"100041"	"48"	"-1"	"-1"	"312000"	"25"	"936000"	"100039"	"300"	"100040"	"320"	"100041"	"72"	
"54000613"	"13"	"2"	"26933.000000"	"14"	"2692.000000"	"0.500000"	"1428"	"100041"	"56"	"-1"	"-1"	"336000"	"25"	"1092000"	"100039"	"300"	"100040"	"320"	"100041"	"120"	
"54000614"	"14"	"2"	"29381.000000"	"14"	"2937.000000"	"0.500000"	"2112"	"100041"	"64"	"-1"	"-1"	"360000"	"25"	"1260000"	"100039"	"300"	"100040"	"320"	"100041"	"176"	
"54000615"	"15"	"2"	"31830.000000"	"14"	"3182.000000"	"-1.000000"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"25"	"1440000"	"100039"	"300"	"100040"	"320"	"100041"	"240"	
"54000700"	"0"	"1"	"4897.000000"	"10"	"734.000000"	"1.000000"	"0"	"100039"	"40"	"-1"	"-1"	"24000"	"25"	"0"	""	""	""	""	""	""	
"54000701"	"1"	"1"	"5549.000000"	"10"	"831.000000"	"1.000000"	"0"	"100039"	"80"	"-1"	"-1"	"48000"	"25"	"12000"	"100039"	"20"	""	""	""	""	
"54000702"	"2"	"1"	"6202.000000"	"10"	"929.000000"	"0.900000"	"14"	"100039"	"120"	"-1"	"-1"	"72000"	"25"	"36000"	"100039"	"60"	""	""	""	""	
"54000703"	"3"	"1"	"6855.000000"	"10"	"1027.000000"	"0.800000"	"40"	"100039"	"160"	"-1"	"-1"	"96000"	"25"	"72000"	"100039"	"120"	""	""	""	""	
"54000704"	"4"	"1"	"7508.000000"	"10"	"1125.000000"	"0.750000"	"67"	"100039"	"200"	"-1"	"-1"	"120000"	"25"	"120000"	"100039"	"200"	""	""	""	""	
"54000705"	"5"	"1"	"8161.000000"	"10"	"1223.000000"	"0.700000"	"43"	"100040"	"40"	"-1"	"-1"	"144000"	"25"	"180000"	"100039"	"300"	""	""	""	""	
"54000706"	"6"	"1"	"9141.000000"	"10"	"1370.000000"	"0.650000"	"81"	"100040"	"60"	"-1"	"-1"	"168000"	"25"	"252000"	"100039"	"300"	"100040"	"32"	""	""	
"54000707"	"7"	"1"	"10120.000000"	"10"	"1517.000000"	"0.600000"	"134"	"100040"	"80"	"-1"	"-1"	"192000"	"25"	"336000"	"100039"	"300"	"100040"	"80"	""	""	
"54000708"	"8"	"1"	"11099.000000"	"10"	"1664.000000"	"0.550000"	"205"	"100040"	"100"	"-1"	"-1"	"216000"	"25"	"432000"	"100039"	"300"	"100040"	"144"	""	""	
"54000709"	"9"	"1"	"12079.000000"	"10"	"1811.000000"	"0.500000"	"300"	"100040"	"120"	"-1"	"-1"	"240000"	"25"	"540000"	"100039"	"300"	"100040"	"224"	""	""	
"54000710"	"10"	"1"	"13058.000000"	"10"	"1958.000000"	"0.500000"	"480"	"100041"	"32"	"-1"	"-1"	"264000"	"25"	"660000"	"100039"	"300"	"100040"	"320"	""	""	
"54000711"	"11"	"1"	"14691.000000"	"10"	"2203.000000"	"0.500000"	"690"	"100041"	"40"	"-1"	"-1"	"288000"	"25"	"792000"	"100039"	"300"	"100040"	"320"	"100041"	"32"	
"54000712"	"12"	"1"	"16323.000000"	"10"	"2447.000000"	"0.500000"	"1008"	"100041"	"48"	"-1"	"-1"	"312000"	"25"	"936000"	"100039"	"300"	"100040"	"320"	"100041"	"72"	
"54000713"	"13"	"1"	"17955.000000"	"10"	"2692.000000"	"0.500000"	"1428"	"100041"	"56"	"-1"	"-1"	"336000"	"25"	"1092000"	"100039"	"300"	"100040"	"320"	"100041"	"120"	
"54000714"	"14"	"1"	"19588.000000"	"10"	"2937.000000"	"0.500000"	"2112"	"100041"	"64"	"-1"	"-1"	"360000"	"25"	"1260000"	"100039"	"300"	"100040"	"320"	"100041"	"176"	
"54000715"	"15"	"1"	"21220.000000"	"10"	"3182.000000"	"-1.000000"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"25"	"1440000"	"100039"	"300"	"100040"	"320"	"100041"	"240"	
"54000800"	"0"	"0"	"146910.000000"	"12"	"734.000000"	"1.000000"	"0"	"100039"	"40"	"-1"	"-1"	"24000"	"25"	"0"	""	""	""	""	""	""	
"54000801"	"1"	"0"	"166498.000000"	"12"	"831.000000"	"1.000000"	"0"	"100039"	"80"	"-1"	"-1"	"48000"	"25"	"12000"	"100039"	"20"	""	""	""	""	
"54000802"	"2"	"0"	"186086.000000"	"12"	"929.000000"	"0.900000"	"14"	"100039"	"120"	"-1"	"-1"	"72000"	"25"	"36000"	"100039"	"60"	""	""	""	""	
"54000803"	"3"	"0"	"205674.000000"	"12"	"1027.000000"	"0.800000"	"40"	"100039"	"160"	"-1"	"-1"	"96000"	"25"	"72000"	"100039"	"120"	""	""	""	""	
"54000804"	"4"	"0"	"225262.000000"	"12"	"1125.000000"	"0.750000"	"67"	"100039"	"200"	"-1"	"-1"	"120000"	"25"	"120000"	"100039"	"200"	""	""	""	""	
"54000805"	"5"	"0"	"244850.000000"	"12"	"1223.000000"	"0.700000"	"43"	"100040"	"40"	"-1"	"-1"	"144000"	"25"	"180000"	"100039"	"300"	""	""	""	""	
"54000806"	"6"	"0"	"274232.000000"	"12"	"1370.000000"	"0.650000"	"81"	"100040"	"60"	"-1"	"-1"	"168000"	"25"	"252000"	"100039"	"300"	"100040"	"32"	""	""	
"54000807"	"7"	"0"	"303614.000000"	"12"	"1517.000000"	"0.600000"	"134"	"100040"	"80"	"-1"	"-1"	"192000"	"25"	"336000"	"100039"	"300"	"100040"	"80"	""	""	
"54000808"	"8"	"0"	"332996.000000"	"12"	"1664.000000"	"0.550000"	"205"	"100040"	"100"	"-1"	"-1"	"216000"	"25"	"432000"	"100039"	"300"	"100040"	"144"	""	""	
"54000809"	"9"	"0"	"362378.000000"	"12"	"1811.000000"	"0.500000"	"300"	"100040"	"120"	"-1"	"-1"	"240000"	"25"	"540000"	"100039"	"300"	"100040"	"224"	""	""	
"54000810"	"10"	"0"	"391760.000000"	"12"	"1958.000000"	"0.500000"	"480"	"100041"	"32"	"-1"	"-1"	"264000"	"25"	"660000"	"100039"	"300"	"100040"	"320"	""	""	
"54000811"	"11"	"0"	"440730.000000"	"12"	"2203.000000"	"0.500000"	"690"	"100041"	"40"	"-1"	"-1"	"288000"	"25"	"792000"	"100039"	"300"	"100040"	"320"	"100041"	"32"	
"54000812"	"12"	"0"	"489700.000000"	"12"	"2447.000000"	"0.500000"	"1008"	"100041"	"48"	"-1"	"-1"	"312000"	"25"	"936000"	"100039"	"300"	"100040"	"320"	"100041"	"72"	
"54000813"	"13"	"0"	"538670.000000"	"12"	"2692.000000"	"0.500000"	"1428"	"100041"	"56"	"-1"	"-1"	"336000"	"25"	"1092000"	"100039"	"300"	"100040"	"320"	"100041"	"120"	
"54000814"	"14"	"0"	"587640.000000"	"12"	"2937.000000"	"0.500000"	"2112"	"100041"	"64"	"-1"	"-1"	"360000"	"25"	"1260000"	"100039"	"300"	"100040"	"320"	"100041"	"176"	
"54000815"	"15"	"0"	"636610.000000"	"12"	"3182.000000"	"-1.000000"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"25"	"1440000"	"100039"	"300"	"100040"	"320"	"100041"	"240"	
"54000900"	"0"	"1"	"4897.000000"	"18"	"734.000000"	"1.000000"	"0"	"100039"	"40"	"-1"	"-1"	"24000"	"25"	"0"	""	""	""	""	""	""	
"54000901"	"1"	"1"	"5549.000000"	"18"	"831.000000"	"1.000000"	"0"	"100039"	"80"	"-1"	"-1"	"48000"	"25"	"12000"	"100039"	"20"	""	""	""	""	
"54000902"	"2"	"1"	"6202.000000"	"18"	"929.000000"	"0.900000"	"14"	"100039"	"120"	"-1"	"-1"	"72000"	"25"	"36000"	"100039"	"60"	""	""	""	""	
"54000903"	"3"	"1"	"6855.000000"	"18"	"1027.000000"	"0.800000"	"40"	"100039"	"160"	"-1"	"-1"	"96000"	"25"	"72000"	"100039"	"120"	""	""	""	""	
"54000904"	"4"	"1"	"7508.000000"	"18"	"1125.000000"	"0.750000"	"67"	"100039"	"200"	"-1"	"-1"	"120000"	"25"	"120000"	"100039"	"200"	""	""	""	""	
"54000905"	"5"	"1"	"8161.000000"	"18"	"1223.000000"	"0.700000"	"43"	"100040"	"40"	"-1"	"-1"	"144000"	"25"	"180000"	"100039"	"300"	""	""	""	""	
"54000906"	"6"	"1"	"9141.000000"	"18"	"1370.000000"	"0.650000"	"81"	"100040"	"60"	"-1"	"-1"	"168000"	"25"	"252000"	"100039"	"300"	"100040"	"32"	""	""	
"54000907"	"7"	"1"	"10120.000000"	"18"	"1517.000000"	"0.600000"	"134"	"100040"	"80"	"-1"	"-1"	"192000"	"25"	"336000"	"100039"	"300"	"100040"	"80"	""	""	
"54000908"	"8"	"1"	"11099.000000"	"18"	"1664.000000"	"0.550000"	"205"	"100040"	"100"	"-1"	"-1"	"216000"	"25"	"432000"	"100039"	"300"	"100040"	"144"	""	""	
"54000909"	"9"	"1"	"12079.000000"	"18"	"1811.000000"	"0.500000"	"300"	"100040"	"120"	"-1"	"-1"	"240000"	"25"	"540000"	"100039"	"300"	"100040"	"224"	""	""	
"54000910"	"10"	"1"	"13058.000000"	"18"	"1958.000000"	"0.500000"	"480"	"100041"	"32"	"-1"	"-1"	"264000"	"25"	"660000"	"100039"	"300"	"100040"	"320"	""	""	
"54000911"	"11"	"1"	"14691.000000"	"18"	"2203.000000"	"0.500000"	"690"	"100041"	"40"	"-1"	"-1"	"288000"	"25"	"792000"	"100039"	"300"	"100040"	"320"	"100041"	"32"	
"54000912"	"12"	"1"	"16323.000000"	"18"	"2447.000000"	"0.500000"	"1008"	"100041"	"48"	"-1"	"-1"	"312000"	"25"	"936000"	"100039"	"300"	"100040"	"320"	"100041"	"72"	
"54000913"	"13"	"1"	"17955.000000"	"18"	"2692.000000"	"0.500000"	"1428"	"100041"	"56"	"-1"	"-1"	"336000"	"25"	"1092000"	"100039"	"300"	"100040"	"320"	"100041"	"120"	
"54000914"	"14"	"1"	"19588.000000"	"18"	"2937.000000"	"0.500000"	"2112"	"100041"	"64"	"-1"	"-1"	"360000"	"25"	"1260000"	"100039"	"300"	"100040"	"320"	"100041"	"176"	
"54000915"	"15"	"1"	"21220.000000"	"18"	"3182.000000"	"-1.000000"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"25"	"1440000"	"100039"	"300"	"100040"	"320"	"100041"	"240"	
"54001000"	"0"	"1"	"4897.000000"	"16"	"734.000000"	"1.000000"	"0"	"100039"	"40"	"-1"	"-1"	"24000"	"25"	"0"	""	""	""	""	""	""	
"54001001"	"1"	"1"	"5549.000000"	"16"	"831.000000"	"1.000000"	"0"	"100039"	"80"	"-1"	"-1"	"48000"	"25"	"12000"	"100039"	"20"	""	""	""	""	
"54001002"	"2"	"1"	"6202.000000"	"16"	"929.000000"	"0.900000"	"14"	"100039"	"120"	"-1"	"-1"	"72000"	"25"	"36000"	"100039"	"60"	""	""	""	""	
"54001003"	"3"	"1"	"6855.000000"	"16"	"1027.000000"	"0.800000"	"40"	"100039"	"160"	"-1"	"-1"	"96000"	"25"	"72000"	"100039"	"120"	""	""	""	""	
"54001004"	"4"	"1"	"7508.000000"	"16"	"1125.000000"	"0.750000"	"67"	"100039"	"200"	"-1"	"-1"	"120000"	"25"	"120000"	"100039"	"200"	""	""	""	""	
"54001005"	"5"	"1"	"8161.000000"	"16"	"1223.000000"	"0.700000"	"43"	"100040"	"40"	"-1"	"-1"	"144000"	"25"	"180000"	"100039"	"300"	""	""	""	""	
"54001006"	"6"	"1"	"9141.000000"	"16"	"1370.000000"	"0.650000"	"81"	"100040"	"60"	"-1"	"-1"	"168000"	"25"	"252000"	"100039"	"300"	"100040"	"32"	""	""	
"54001007"	"7"	"1"	"10120.000000"	"16"	"1517.000000"	"0.600000"	"134"	"100040"	"80"	"-1"	"-1"	"192000"	"25"	"336000"	"100039"	"300"	"100040"	"80"	""	""	
"54001008"	"8"	"1"	"11099.000000"	"16"	"1664.000000"	"0.550000"	"205"	"100040"	"100"	"-1"	"-1"	"216000"	"25"	"432000"	"100039"	"300"	"100040"	"144"	""	""	
"54001009"	"9"	"1"	"12079.000000"	"16"	"1811.000000"	"0.500000"	"300"	"100040"	"120"	"-1"	"-1"	"240000"	"25"	"540000"	"100039"	"300"	"100040"	"224"	""	""	
"54001010"	"10"	"1"	"13058.000000"	"16"	"1958.000000"	"0.500000"	"480"	"100041"	"32"	"-1"	"-1"	"264000"	"25"	"660000"	"100039"	"300"	"100040"	"320"	""	""	
"54001011"	"11"	"1"	"14691.000000"	"16"	"2203.000000"	"0.500000"	"690"	"100041"	"40"	"-1"	"-1"	"288000"	"25"	"792000"	"100039"	"300"	"100040"	"320"	"100041"	"32"	
"54001012"	"12"	"1"	"16323.000000"	"16"	"2447.000000"	"0.500000"	"1008"	"100041"	"48"	"-1"	"-1"	"312000"	"25"	"936000"	"100039"	"300"	"100040"	"320"	"100041"	"72"	
"54001013"	"13"	"1"	"17955.000000"	"16"	"2692.000000"	"0.500000"	"1428"	"100041"	"56"	"-1"	"-1"	"336000"	"25"	"1092000"	"100039"	"300"	"100040"	"320"	"100041"	"120"	
"54001014"	"14"	"1"	"19588.000000"	"16"	"2937.000000"	"0.500000"	"2112"	"100041"	"64"	"-1"	"-1"	"360000"	"25"	"1260000"	"100039"	"300"	"100040"	"320"	"100041"	"176"	
"54001015"	"15"	"1"	"21220.000000"	"16"	"3182.000000"	"-1.000000"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"25"	"1440000"	"100039"	"300"	"100040"	"320"	"100041"	"240"	
"54001100"	"0"	"1"	"4897.000000"	"8"	"734.000000"	"1.000000"	"0"	"100039"	"40"	"-1"	"-1"	"24000"	"25"	"0"	""	""	""	""	""	""	
"54001101"	"1"	"1"	"5549.000000"	"8"	"831.000000"	"1.000000"	"0"	"100039"	"80"	"-1"	"-1"	"48000"	"25"	"12000"	"100039"	"20"	""	""	""	""	
"54001102"	"2"	"1"	"6202.000000"	"8"	"929.000000"	"0.900000"	"14"	"100039"	"120"	"-1"	"-1"	"72000"	"25"	"36000"	"100039"	"60"	""	""	""	""	
"54001103"	"3"	"1"	"6855.000000"	"8"	"1027.000000"	"0.800000"	"40"	"100039"	"160"	"-1"	"-1"	"96000"	"25"	"72000"	"100039"	"120"	""	""	""	""	
"54001104"	"4"	"1"	"7508.000000"	"8"	"1125.000000"	"0.750000"	"67"	"100039"	"200"	"-1"	"-1"	"120000"	"25"	"120000"	"100039"	"200"	""	""	""	""	
"54001105"	"5"	"1"	"8161.000000"	"8"	"1223.000000"	"0.700000"	"43"	"100040"	"40"	"-1"	"-1"	"144000"	"25"	"180000"	"100039"	"300"	""	""	""	""	
"54001106"	"6"	"1"	"9141.000000"	"8"	"1370.000000"	"0.650000"	"81"	"100040"	"60"	"-1"	"-1"	"168000"	"25"	"252000"	"100039"	"300"	"100040"	"32"	""	""	
"54001107"	"7"	"1"	"10120.000000"	"8"	"1517.000000"	"0.600000"	"134"	"100040"	"80"	"-1"	"-1"	"192000"	"25"	"336000"	"100039"	"300"	"100040"	"80"	""	""	
"54001108"	"8"	"1"	"11099.000000"	"8"	"1664.000000"	"0.550000"	"205"	"100040"	"100"	"-1"	"-1"	"216000"	"25"	"432000"	"100039"	"300"	"100040"	"144"	""	""	
"54001109"	"9"	"1"	"12079.000000"	"8"	"1811.000000"	"0.500000"	"300"	"100040"	"120"	"-1"	"-1"	"240000"	"25"	"540000"	"100039"	"300"	"100040"	"224"	""	""	
"54001110"	"10"	"1"	"13058.000000"	"8"	"1958.000000"	"0.500000"	"480"	"100041"	"32"	"-1"	"-1"	"264000"	"25"	"660000"	"100039"	"300"	"100040"	"320"	""	""	
"54001111"	"11"	"1"	"14691.000000"	"8"	"2203.000000"	"0.500000"	"690"	"100041"	"40"	"-1"	"-1"	"288000"	"25"	"792000"	"100039"	"300"	"100040"	"320"	"100041"	"32"	
"54001112"	"12"	"1"	"16323.000000"	"8"	"2447.000000"	"0.500000"	"1008"	"100041"	"48"	"-1"	"-1"	"312000"	"25"	"936000"	"100039"	"300"	"100040"	"320"	"100041"	"72"	
"54001113"	"13"	"1"	"17955.000000"	"8"	"2692.000000"	"0.500000"	"1428"	"100041"	"56"	"-1"	"-1"	"336000"	"25"	"1092000"	"100039"	"300"	"100040"	"320"	"100041"	"120"	
"54001114"	"14"	"1"	"19588.000000"	"8"	"2937.000000"	"0.500000"	"2112"	"100041"	"64"	"-1"	"-1"	"360000"	"25"	"1260000"	"100039"	"300"	"100040"	"320"	"100041"	"176"	
"54001115"	"15"	"1"	"21220.000000"	"8"	"3182.000000"	"-1.000000"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"25"	"1440000"	"100039"	"300"	"100040"	"320"	"100041"	"240"	
"54001200"	"0"	"1"	"4897.000000"	"10"	"734.000000"	"1.000000"	"0"	"100039"	"40"	"-1"	"-1"	"24000"	"25"	"0"	""	""	""	""	""	""	
"54001201"	"1"	"1"	"5549.000000"	"10"	"831.000000"	"1.000000"	"0"	"100039"	"80"	"-1"	"-1"	"48000"	"25"	"12000"	"100039"	"20"	""	""	""	""	
"54001202"	"2"	"1"	"6202.000000"	"10"	"929.000000"	"0.900000"	"14"	"100039"	"120"	"-1"	"-1"	"72000"	"25"	"36000"	"100039"	"60"	""	""	""	""	
"54001203"	"3"	"1"	"6855.000000"	"10"	"1027.000000"	"0.800000"	"40"	"100039"	"160"	"-1"	"-1"	"96000"	"25"	"72000"	"100039"	"120"	""	""	""	""	
"54001204"	"4"	"1"	"7508.000000"	"10"	"1125.000000"	"0.750000"	"67"	"100039"	"200"	"-1"	"-1"	"120000"	"25"	"120000"	"100039"	"200"	""	""	""	""	
"54001205"	"5"	"1"	"8161.000000"	"10"	"1223.000000"	"0.700000"	"43"	"100040"	"40"	"-1"	"-1"	"144000"	"25"	"180000"	"100039"	"300"	""	""	""	""	
"54001206"	"6"	"1"	"9141.000000"	"10"	"1370.000000"	"0.650000"	"81"	"100040"	"60"	"-1"	"-1"	"168000"	"25"	"252000"	"100039"	"300"	"100040"	"32"	""	""	
"54001207"	"7"	"1"	"10120.000000"	"10"	"1517.000000"	"0.600000"	"134"	"100040"	"80"	"-1"	"-1"	"192000"	"25"	"336000"	"100039"	"300"	"100040"	"80"	""	""	
"54001208"	"8"	"1"	"11099.000000"	"10"	"1664.000000"	"0.550000"	"205"	"100040"	"100"	"-1"	"-1"	"216000"	"25"	"432000"	"100039"	"300"	"100040"	"144"	""	""	
"54001209"	"9"	"1"	"12079.000000"	"10"	"1811.000000"	"0.500000"	"300"	"100040"	"120"	"-1"	"-1"	"240000"	"25"	"540000"	"100039"	"300"	"100040"	"224"	""	""	
"54001210"	"10"	"1"	"13058.000000"	"10"	"1958.000000"	"0.500000"	"480"	"100041"	"32"	"-1"	"-1"	"264000"	"25"	"660000"	"100039"	"300"	"100040"	"320"	""	""	
"54001211"	"11"	"1"	"14691.000000"	"10"	"2203.000000"	"0.500000"	"690"	"100041"	"40"	"-1"	"-1"	"288000"	"25"	"792000"	"100039"	"300"	"100040"	"320"	"100041"	"32"	
"54001212"	"12"	"1"	"16323.000000"	"10"	"2447.000000"	"0.500000"	"1008"	"100041"	"48"	"-1"	"-1"	"312000"	"25"	"936000"	"100039"	"300"	"100040"	"320"	"100041"	"72"	
"54001213"	"13"	"1"	"17955.000000"	"10"	"2692.000000"	"0.500000"	"1428"	"100041"	"56"	"-1"	"-1"	"336000"	"25"	"1092000"	"100039"	"300"	"100040"	"320"	"100041"	"120"	
"54001214"	"14"	"1"	"19588.000000"	"10"	"2937.000000"	"0.500000"	"2112"	"100041"	"64"	"-1"	"-1"	"360000"	"25"	"1260000"	"100039"	"300"	"100040"	"320"	"100041"	"176"	
"54001215"	"15"	"1"	"21220.000000"	"10"	"3182.000000"	"-1.000000"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"25"	"1440000"	"100039"	"300"	"100040"	"320"	"100041"	"240"	
"55000100"	"0"	"1"	"6529.000000"	"12"	"979.000000"	"1.000000"	"0"	"100039"	"40"	"-1"	"-1"	"30000"	"50"	"0"	""	""	""	""	""	""	
"55000101"	"1"	"1"	"7181.000000"	"12"	"1076.000000"	"1.000000"	"0"	"100039"	"80"	"-1"	"-1"	"60000"	"50"	"15000"	"100039"	"20"	""	""	""	""	
"55000102"	"2"	"1"	"7834.000000"	"12"	"1174.000000"	"0.900000"	"14"	"100039"	"120"	"-1"	"-1"	"90000"	"50"	"45000"	"100039"	"60"	""	""	""	""	
"55000103"	"3"	"1"	"8487.000000"	"12"	"1272.000000"	"0.800000"	"40"	"100039"	"160"	"-1"	"-1"	"120000"	"50"	"90000"	"100039"	"120"	""	""	""	""	
"55000104"	"4"	"1"	"9140.000000"	"12"	"1370.000000"	"0.750000"	"67"	"100039"	"200"	"-1"	"-1"	"150000"	"50"	"150000"	"100039"	"200"	""	""	""	""	
"55000105"	"5"	"1"	"9793.000000"	"12"	"1468.000000"	"0.700000"	"43"	"100040"	"40"	"-1"	"-1"	"180000"	"50"	"225000"	"100039"	"300"	""	""	""	""	
"55000106"	"6"	"1"	"10773.000000"	"12"	"1615.000000"	"0.650000"	"81"	"100040"	"60"	"-1"	"-1"	"210000"	"50"	"315000"	"100039"	"300"	"100040"	"32"	""	""	
"55000107"	"7"	"1"	"11752.000000"	"12"	"1762.000000"	"0.600000"	"134"	"100040"	"80"	"-1"	"-1"	"240000"	"50"	"420000"	"100039"	"300"	"100040"	"80"	""	""	
"55000108"	"8"	"1"	"12731.000000"	"12"	"1909.000000"	"0.550000"	"205"	"100040"	"100"	"-1"	"-1"	"270000"	"50"	"540000"	"100039"	"300"	"100040"	"144"	""	""	
"55000109"	"9"	"1"	"13711.000000"	"12"	"2056.000000"	"0.500000"	"300"	"100040"	"120"	"-1"	"-1"	"300000"	"50"	"675000"	"100039"	"300"	"100040"	"224"	""	""	
"55000110"	"10"	"1"	"14690.000000"	"12"	"2203.000000"	"0.500000"	"480"	"100041"	"32"	"-1"	"-1"	"330000"	"50"	"825000"	"100039"	"300"	"100040"	"320"	""	""	
"55000111"	"11"	"1"	"16323.000000"	"12"	"2448.000000"	"0.500000"	"690"	"100041"	"40"	"-1"	"-1"	"360000"	"50"	"990000"	"100039"	"300"	"100040"	"320"	"100041"	"32"	
"55000112"	"12"	"1"	"17955.000000"	"12"	"2692.000000"	"0.500000"	"1008"	"100041"	"48"	"-1"	"-1"	"390000"	"50"	"1170000"	"100039"	"300"	"100040"	"320"	"100041"	"72"	
"55000113"	"13"	"1"	"19587.000000"	"12"	"2937.000000"	"0.500000"	"1428"	"100041"	"56"	"-1"	"-1"	"420000"	"50"	"1365000"	"100039"	"300"	"100040"	"320"	"100041"	"120"	
"55000114"	"14"	"1"	"21220.000000"	"12"	"3182.000000"	"0.500000"	"2112"	"100041"	"64"	"-1"	"-1"	"450000"	"50"	"1575000"	"100039"	"300"	"100040"	"320"	"100041"	"176"	
"55000115"	"15"	"1"	"22852.000000"	"12"	"3427.000000"	"-1.000000"	"-1"	"-1"	"-1"	"-1"	"-1"	"-1"	"50"	"1800000"	"100039"	"300"	"100040"	"320"	"100041"	"240"	
"55000200"	"0"	"0"	"195880.000000"	"14"	"979.000000"	"1.000000"	"0"	"100039"	"40"	"-1"	"-1"	"30000"	"50"	"0"	""	""	""	""	""	""	
"55000201"	"1"	"0"	"215468.000000"	"14"	"1076.000000"	"1.000000"	"0"	"100039"	"80"	"-1"	"-1"	"60000"	"50"	"15000"	"100039"	"20"	""	""	""	""	
"55000202"	"2"	"0"	"235056.000000"	"14"	"1174.000000"	"0.900000"	"14"	"100039"	"120"	"-1"	"-1"	"90000"	"50"	"45000"	"100039"	"60"	""	""	""	""	
"55000203"	"3"	"0"	"254644.000000"	"14"	"1272.000000"	"0.800000"	"40"	"100039"	"160"	"-1"	"-1"	"120000"	"50"	"90000"	"100039"	"120"	""	""	""	""	
"55000204"	"4"	"0"	"274232.000000"	"14"	"1370.000000"	"0.750000"	"67"	"100039"	"200"	"-1"	"-1"	"150000"	"50"	"150000"	"100039"	"200"	""	""	""	""	
"55000205"	"5"	"0"	"293820.000000"	"14"	"1468.000000"	"0.700000"	"43"	"100040"	"40"	"-1"	"-1"	"180000"	"50"	"225000"	"100039"	"300"	""	""	""	""	
"55000206"	"6"	"0"	"323202.000000"	"14"	"1615.000000"	"0.650000"	"81"	"100040"	"60"	"-1"	"-1"	"210000"	"50"	"315000"	"100039"	"300"	"100040"	"32"	""	""	
"55000207"	"7"	"0"	"352584.000000"	"14"	"1762.000000"	"0.600000"	"134"	"100040"	"80"	"-1"	"-1"	"240000"	"50"	"420000"	"100039"	"300"	"100040"	"80"	""	""	
"55000208"	"8"	"0"	"381966.000000"	"14"	"1909.000000"	"0.550000"	"205"	"100040"	"100"	"-1"	"-1"	"270000"	"50"	"540000"	"100039"	"300"	"100040"	"144"	""	""	
"55000209"	"9"	"0"	"411348.000000"	"14"	"2056.000000"	"0.500000"	"300"	"100040"	"120"	"-1"	"-1"	"300000"	"50"	"675000"	"100039"	"300"	"100040"	"224"	""	""	
"55000210"	"10"	"0"	"440730.000000"	"14"	"2203.000000"	"0.500000"	"480"	"100041"	"32"	"-1"	"-1"	"330000"	"50"	"825000"	"100039"	"300"	"100040"	"320"	""	""	
"55000211"	"11"	"0"	"489700.000000"	"14"	"2448.000000"	"0.500000"	"690"	"100041"	"40"	"-1"	"-1"	"360000"	"50"	"990000"	"100039"	"300"	"100040"	"320"	"100041"	"32"	
"55000212"	"12"	"0"	"538670.000000"	"14"	"2692.000000"	"0.500000"	"1008"	"100041"	"48"	"-1"	"-1"	"390000"	"50"	"1170000"	"100039"	"300"	"100040"	"320"	"100041"	"72"	
