"id，1000开始为怪物随机技能；40000和70000开始为龙的触发性技能；80000开始为装备魂链占用"	"效果名称"	"效果图标"	"描述"	"触发时机0=施法时1=攻击结算时2=受击结算时3=攻击结算前4=攻击结算后5=受击结算前6=受击结算后--begin以下作为攻击者触发7=击中目标时8=目标格档时9=目标闪避时10=暴击时--end--begin以下作为受击者触发11=被击中时12=格档时13=闪避时14=被暴击时---end15=击杀目标时16=被击杀时17=计算击退时(仅用于击退)18=每秒"	"触发的效果类型"	"条件判断脚本名称"	"触发的效果类型索引(不填,程序用)"	"效果参数1"	"效果参数2"	"效果参数3"	"效果参数4"	"效果参数5"	"效果参数6"	"效果参数1"	"效果参数2"	"效果参数3"	"效果参数4"	"效果参数5"	"效果参数6"	"条件:内置cd(毫秒)0=无cd"	"条件:触发几率(毫秒)1=100%"	"条件:目标生命值0=值1=百分比(1=100%)负数=无条件"	"条件:目标生命值"	"效果参数1等级修正"	"效果参数2等级修正"	"效果参数3等级修正"	"效果参数4等级修正"	"效果参数5等级修正"	"效果参数6等级修正"	"效果参数1等级修正"	"效果参数2等级修正"	"效果参数3等级修正"	"效果参数4等级修正"	"效果参数5等级修正"	"效果参数6等级修正"	"条件:触发几率(毫秒)1=100%等级修正"	"同技能允许触发次数(小等于0表示不限)"	"战斗力"	"在触发器所有者身上执行的表现效果。可以调用任意数量的动作、特效等资源。"	"在触发器涉及其他角色（非所有者）身上执行的表现效果。可以调用任意数量的动作、特效等资源。"	"特殊的表现txt的使用方式0.不使用特殊表现1.基于宠物播放2.基于坐骑播放"	"在触发器涉及其他角色（非所有者）身上执行的表现效果。可以调用任意数量的动作、特效等资源。"	
"87002"	"克敌机先"	""	"攻击时有几率击退目标2m"	"17"	"knockback"	""	""	""	""	""	""	""	""	"2.000000"	""	""	""	""	""	"60000"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1000"	""	""	""	""	
"87003"	"霜冻之体"	""	"被击中时有几率冻结敌人1秒"	"11"	"castaura_on_caster"	""	""	"140"	"1"	""	""	""	""	""	""	""	""	""	""	"60000"	"0.300000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1000"	""	""	""	""	
"87004"	"精灵低语"	""	"受击时，小精灵有几率沉默敌人3秒"	"11"	"castaura_on_caster"	""	""	"312"	"1"	""	""	""	""	""	""	""	""	""	""	"60000"	"0.500000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1000"	""	""	""	""	
"90230"	""	""	"雷龙boss，击中后获得可叠加buff"	"7"	"castaura_on_target"	""	""	"90200"	"1"	""	""	""	""	""	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"109000"	""	""	"血圆斩-吸血"	"7"	"recover"	""	""	"4"	""	""	""	""	""	"0.200000"	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	
"113000"	""	""	"光之盾-荆棘盾"	"12"	"throns"	""	""	""	""	""	""	""	""	"0.500000"	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"113100"	""	""	"光之盾-恢复盾"	"12"	"recover"	""	""	"1"	""	""	""	""	""	"0.300000"	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"205000"	""	""	"暗影之舞-伺机待发"	"0"	"reduce_magiccooldown_oncasted"	""	""	""	""	""	""	""	""	"0.800000"	""	""	""	""	""	"4000"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"300100"	""	""	"冰之铠甲-冻结甲"	"11"	"castaura_on_caster"	""	""	"140"	"1"	""	""	""	""	""	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"500044"	""	""	"血脉-狂暴姿态lv1."	"0"	"castaura_on_self"	""	""	"500044"	""	""	""	""	""	""	""	""	""	""	""	"20000"	"0.020000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"500045"	""	""	"血脉-狂暴姿态lv2."	"0"	"castaura_on_self"	""	""	"500045"	""	""	""	""	""	""	""	""	""	""	""	"20000"	"0.040000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"500046"	""	""	"血脉-狂暴姿态lv3."	"0"	"castaura_on_self"	""	""	"500046"	""	""	""	""	""	""	""	""	""	""	""	"20000"	"0.060000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"500047"	""	""	"血脉-狂暴姿态lv4."	"0"	"castaura_on_self"	""	""	"500047"	""	""	""	""	""	""	""	""	""	""	""	"20000"	"0.080000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"500048"	""	""	"血脉-狂暴姿态lv5."	"0"	"castaura_on_self"	""	""	"500048"	""	""	""	""	""	""	""	""	""	""	""	"20000"	"0.100000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"500064"	""	""	"血脉-射手天赋lv1."	"0"	"castaura_on_self"	""	""	"500064"	""	""	""	""	""	""	""	""	""	""	""	"20000"	"0.050000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"500065"	""	""	"血脉-射手天赋lv2."	"0"	"castaura_on_self"	""	""	"500065"	""	""	""	""	""	""	""	""	""	""	""	"20000"	"0.050000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"500066"	""	""	"血脉-射手天赋lv3."	"0"	"castaura_on_self"	""	""	"500066"	""	""	""	""	""	""	""	""	""	""	""	"20000"	"0.050000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"500067"	""	""	"血脉-射手天赋lv4."	"0"	"castaura_on_self"	""	""	"500067"	""	""	""	""	""	""	""	""	""	""	""	"20000"	"0.050000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"500068"	""	""	"血脉-射手天赋lv5."	"0"	"castaura_on_self"	""	""	"500068"	""	""	""	""	""	""	""	""	""	""	""	"20000"	"0.050000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10300000"	"璇光斩后自身移动速度增加"	""	"攻击后自身移动速度提高30%，持续2秒"	"0"	"castaura_on_caster"	"CombatTriggerCondition19010010"	""	"10300000"	""	""	""	""	""	""	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10301000"	"五岳连横后前方地面着火DoT"	""	"敌人进入时受到持续伤害，持续4秒"	"0"	"castaura_on_self"	"CombatTriggerCondition19010020"	""	"10301000"	""	""	""	""	""	""	""	""	""	""	""	"3000"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10301010"	"五岳连横后自身命中"	""	"攻击后，自身命中提高100点，持续4秒"	"0"	"castaura_on_self"	"CombatTriggerCondition19010060"	""	"10301010"	""	""	""	""	""	""	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10302000"	"剑啸风花的自身获得光环四周aoe时减速"	""	""	"0"	"castaura_on_caster"	"CombatTriggerCondition19010030"	""	"10302000"	""	""	""	""	""	""	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10302010"	"剑啸风花的目标附带流血DoT"	""	"敌人进入时受到持续伤害，持续4秒"	"0"	"castaura_on_caster"	"CombatTriggerCondition19010080"	""	"10302010"	""	""	""	""	""	""	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10303000"	"星河流光后自身移动加速"	""	"攻击后，自身移动速度提高50%，持续4秒"	"4"	"castaura_on_self"	"CombatTriggerCondition19010040"	""	"10303000"	""	""	""	""	""	""	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10303010"	"星河流光后目标定身"	""	"目标定身，持续2秒"	"4"	"castaura_on_target"	"CombatTriggerCondition19010070"	""	"10303010"	""	""	""	""	""	""	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10303020"	"星河流光后自身免疫减速"	""	"攻击后，自身免疫减速，持续4秒"	"0"	"castaura_on_self"	"CombatTriggerCondition19010090"	""	"10303020"	""	""	""	""	""	""	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"10304000"	"妙转乾坤后自身增加暴击"	""	"攻击后，自身增加暴击100点，持续4秒"	"0"	"castaura_on_self"	"CombatTriggerCondition19010050"	""	"10304000"	""	""	""	""	""	""	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"11200000"	"普庵咒后目标减速"	""	"目标减速，持续2秒"	"4"	"castaura_on_target"	"CombatTriggerCondition19010010"	""	"11200000"	""	""	""	""	""	""	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"11201000"	"风雷引目标流血DoT"	""	"目标受到持续伤害，持续4秒"	"3"	"castaura_on_target"	"CombatTriggerCondition19010020"	""	"11201000"	""	""	""	""	""	""	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"11201010"	"风雷引目标多一次攻击"	""	"最后一击附带一次额外伤害"	"3"	"castaura_on_target"	"CombatTriggerCondition19010060"	""	"11201010"	""	""	""	""	""	""	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"11202000"	"十方天音自身加速"	""	"攻击后，自身增加穿透100点，持续4秒"	"0"	"castaura_on_self"	"CombatTriggerCondition19010030"	""	"11202000"	""	""	""	""	""	""	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"11202010"	"十方天音目标拉近"	""	"最后一击附带一次额外伤害"	"0"	"castaura_on_caster"	"CombatTriggerCondition19010080"	""	"11202010"	""	""	""	""	""	""	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"11203000"	"沧海龙吟目标点追加aoe"	""	"最后一击附带一次额外伤害"	"0"	"castaura_on_caster"	"CombatTriggerCondition19010040"	""	"11203000"	""	""	""	""	""	""	""	""	""	""	""	"2500"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"11203010"	"沧海龙吟自身四周aoe"	""	"最后一击附带一次额外伤害"	"0"	"castaura_on_caster"	"CombatTriggerCondition19010070"	""	"11203010"	""	""	""	""	""	""	""	""	""	""	""	"2500"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"11203020"	"沧海龙吟自身随机点瞬移触发器"	""	""	"0"	"castaura_on_caster"	"CombatTriggerCondition19010090"	""	"11203020"	""	""	""	""	""	""	""	""	""	""	""	"2500"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"11204000"	"烟雨逍遥自身增加命中"	""	"攻击后，自身增加穿透100点，持续4秒"	"0"	"castaura_on_self"	"CombatTriggerCondition19010050"	""	"11204000"	""	""	""	""	""	""	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"12200000"	"连环枪后目标减速"	""	"目标减速，持续2秒"	"4"	"castaura_on_target"	"CombatTriggerCondition19010010"	""	"12200000"	""	""	""	""	""	""	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"12201000"	"气动山河后目标破甲"	""	"目标破甲，持续2秒"	"4"	"castaura_on_target"	"CombatTriggerCondition19010020"	""	"12201000"	""	""	""	""	""	""	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"12201010"	"气动山河后自身增加格挡"	""	"攻击后，自身格挡提高100点，持续4秒"	"0"	"castaura_on_caster"	"CombatTriggerCondition19010060"	""	"12201010"	""	""	""	""	""	""	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"12202000"	"五虎断门最后一击目标流血DoT"	""	"目标受到持续伤害，持续4秒"	"3"	"castaura_on_target"	"CombatTriggerCondition19010030"	""	"12202000"	""	""	""	""	""	""	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"12202010"	"五虎断门最后一击地面地刺攻击"	""	"最后一击附带一次额外伤害"	"0"	"castaura_on_caster"	"CombatTriggerCondition19010080"	""	"12202010"	""	""	""	""	""	""	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"12203000"	"九龙破空目标拉近"	""	"攻击时将自身四周目标拉至身边"	"0"	"castaura_on_caster"	"CombatTriggerCondition19010040"	""	"12203000"	""	""	""	""	""	""	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"12203010"	"九龙破空目标眩晕"	""	"自身四周目标眩晕，持续2秒"	"0"	"castaura_on_caster"	"CombatTriggerCondition19010070"	""	"12203010"	""	""	""	""	""	""	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"12203020"	"九龙破空自身免疫眩晕"	""	"攻击后，自身免疫眩晕，持续4秒"	"0"	"castaura_on_self"	"CombatTriggerCondition19010090"	""	"12203020"	""	""	""	""	""	""	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"12204000"	"天影飞梭自身增加穿透"	""	"攻击后，自身增加穿透100点，持续4秒"	"0"	"castaura_on_self"	"CombatTriggerCondition19010050"	""	"12204000"	""	""	""	""	""	""	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20001200"	"龙战于野-有集气加伤"	""	"有<集气>时额外造成0.5倍伤害"	"3"	"casteramplifydamage"	"CombatTriggerCondition10000200"	""	""	""	""	""	""	""	"0.500000"	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20001300"	"神龙摆尾-有集气时减少CD"	""	"有<集气>时减少40%CD"	"0"	"reduce_magiccooldown_oncasted"	"CombatTriggerCondition10010200"	""	""	""	""	""	""	""	"0.400000"	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20002200"	"伏魔禅杖-破甲、虚弱减速"	""	"对有<破甲><虚弱>的目标附带减速"	"3"	"castaura_on_target"	"CombatTriggerCondition20002200"	""	"10025030"	""	""	""	""	""	""	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20002300"	"一阳指-对蓄力加伤"	""	"对有<蓄力>的目标额外造成0.6倍伤害"	"3"	"casteramplifydamage"	"CombatTriggerCondition10020100"	""	""	""	""	""	""	""	"0.600000"	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20003100"	"左右互搏-减CD"	""	"所有技能减少50%CD"	"0"	"reduce_magiccooldown_oncasted"	""	""	""	""	""	""	""	""	"0.350000"	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	"[[2,300,0.0005]]"	""	""	""	""	""	""	""	""	""	""	""	""	
"20003101"	"左右互搏-虚弱加攻"	""	"有虚弱时在5秒内增加20%攻击力"	"3"	"castaura_on_self"	"CombatTriggerCondition10020300"	""	"20003101"	""	""	""	""	""	""	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20003200"	"游戏人间-对虚弱加伤"	""	"对有<虚弱>的目标额外造成1倍伤害"	"3"	"casteramplifydamage"	"CombatTriggerCondition10000300"	""	""	""	""	""	""	""	"1.000000"	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20003300"	"空明拳-集气回血"	""	"集气回血"	"0"	"castaura_on_self"	"CombatTriggerCondition10000200"	""	"20003301"	""	""	""	""	""	""	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20004200"	"落英神掌-对破甲附带虚弱"	""	"对有<破甲>的目标附带虚弱"	"3"	"castaura_on_target"	"CombatTriggerCondition10000400"	""	"10000300"	""	""	""	""	""	""	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20004300"	"漫天花雨-对破甲加伤"	""	"对有<破甲>的目标额外造成0.4倍伤害"	"3"	"casteramplifydamage"	"CombatTriggerCondition10000400"	""	""	""	""	""	""	""	"0.400000"	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20004301"	"漫天花雨-对虚弱加伤"	""	"对有<虚弱>的目标额外造成0.4倍伤害"	"3"	"casteramplifydamage"	"CombatTriggerCondition10000300"	""	""	""	""	""	""	""	"0.400000"	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20005100"	"剑指丹阳-有集气减CD"	""	"有<集气>时减少40%CD"	"0"	"reduce_magiccooldown_oncasted"	"CombatTriggerCondition10010200"	""	""	""	""	""	""	""	"0.400000"	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20005300"	"斗转星移-有集气加伤"	""	"对有<破甲>的目标额外造成0.5倍伤害"	"3"	"casteramplifydamage"	"CombatTriggerCondition10000200"	""	""	""	""	""	""	""	"0.600000"	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20006101"	"瞬息千里-攻击附带虚弱"	""	"所有攻击附带虚弱"	"3"	"castaura_on_target"	""	""	"10000300"	""	""	""	""	""	""	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20006200"	"神陀铁扇-对虚弱附带dot"	""	"对有<虚弱>的目标附带dot效果"	"3"	"castaura_on_target"	"CombatTriggerCondition10000300"	""	"20006201"	""	""	""	""	""	""	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20006300"	"灵蛇掏心-对虚弱附带眩晕"	""	"对有<虚弱>的目标附带眩晕"	"3"	"castaura_on_target"	"CombatTriggerCondition10000300"	""	"10011500"	""	""	""	""	""	""	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20007100"	"九阴白骨爪-有蓄力时吸血"	""	"有<蓄力>时吸血50%"	"3"	"recover"	"CombatTriggerCondition10010100"	""	"4"	""	""	""	""	""	"0.500000"	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20007300"	"移魂大法-有蓄力时减少CD"	""	"有<蓄力>时减少一半CD"	"0"	"reduce_magiccooldown_oncasted"	"CombatTriggerCondition10010100"	""	""	""	""	""	""	""	"0.500000"	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20008100"	"以柔克刚-有蓄力或目标有破甲加伤"	""	"自身有<蓄力>或目标有<破甲>造成0.4倍额外伤害"	"3"	"casteramplifydamage"	"CombatTriggerCondition20008100"	""	""	""	""	""	""	""	"0.400000"	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20008300"	"乱舞梨花-对破甲加伤"	""	"对有<破甲>的目标额外造成0.75倍伤害"	"3"	"casteramplifydamage"	"CombatTriggerCondition20008300"	""	""	""	""	""	""	""	"0.750000"	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20009100"	"全真剑法-有蓄力加伤"	""	"对有<蓄力>的目标额外造成0.5倍伤害"	"3"	"casteramplifydamage"	"CombatTriggerCondition10000100"	""	""	""	""	""	""	""	"0.500000"	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20009200"	"剑舞倾心-有蓄力额外加血"	""	"自身有<蓄力>时自己额外治疗"	"0"	"castaura_on_self"	"CombatTriggerCondition10000100"	""	"20009203"	""	""	""	""	""	""	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20010100"	"分筋错骨-吸血"	""	"吸血10%"	"3"	"recover"	""	""	"4"	""	""	""	""	""	"0.100000"	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20010101"	"分筋错骨-对虚弱加伤"	""	"对有<虚弱>的目标额外造成0.4倍伤害"	"3"	"casteramplifydamage"	"CombatTriggerCondition10000300"	""	""	""	""	""	""	""	"0.400000"	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20010301"	"摧心魔掌-回血"	""	"有破甲时回血2%"	"3"	"castaura_on_target"	"CombatTriggerCondition20010301"	""	"20010301"	""	""	""	""	""	""	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20011200"	"听声辨位-对蓄力加伤"	""	"有<蓄力>时额外造成0.5倍伤害"	"3"	"casteramplifydamage"	"CombatTriggerCondition20011200"	""	""	""	""	""	""	""	"0.500000"	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20011300"	"飞天蝙蝠-对蓄力加伤"	""	"有<蓄力>时额外造成0.3倍伤害"	"3"	"casteramplifydamage"	"CombatTriggerCondition20011300"	""	""	""	""	""	""	""	"0.300000"	""	""	""	""	""	"0"	"1.000000"	"1"	"0.500000"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20011301"	"飞天蝙蝠-对虚弱加伤"	""	"对有<虚弱>且生命值低于50%的目标额外造成0.3倍伤害"	"3"	"casteramplifydamage"	"CombatTriggerCondition20011301"	""	""	""	""	""	""	""	"0.300000"	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20012110"	"风火燎原-对虚弱附加破甲"	""	"对有<虚弱>的目标附带<破甲>"	"3"	"castaura_on_target"	"CombatTriggerCondition10000300"	""	"10000400"	""	""	""	""	""	""	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20012300"	"弯弓射日-对虚弱加伤"	""	"对有<虚弱>的目标额外造成2倍伤害"	"3"	"casteramplifydamage"	"CombatTriggerCondition10000300"	""	""	""	""	""	""	""	"2.000000"	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"20013100"	"袖里乾坤-对破甲加伤"	""	"对有<破甲>的目标额外造成0.6倍伤害"	"3"	"casteramplifydamage"	"CombatTriggerCondition10000400"	""	""	""	""	""	""	""	"0.600000"	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"26001001"	"混沌葫芦-减CD"	""	"对有<破甲>的目标额外造成0.6倍伤害"	"0"	"reduce_magiccooldown_oncasted"	"CombatTriggerCondition26001001"	""	""	""	""	""	""	""	"0.200000"	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"26001002"	"混沌葫芦-增加伤害"	""	"对有<破甲>的目标额外造成0.6倍伤害"	"3"	"casteramplifydamage"	"CombatTriggerCondition26001002"	""	""	""	""	""	""	""	"3.000000"	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"26001003"	"混沌葫芦-附带减命中"	""	"对有<破甲>的目标额外造成0.6倍伤害"	"3"	"castaura_on_target"	"CombatTriggerCondition26001003"	""	"26001003"	""	""	""	""	""	""	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"26002001"	"乾坤笔-增加暴击"	""	"对有<破甲>的目标额外造成0.6倍伤害"	"0"	"castaura_on_self"	"CombatTriggerCondition26002001"	""	"26002001"	""	""	""	""	""	""	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"26002002"	"乾坤笔-增加持续时间"	""	"对有<破甲>的目标额外造成0.6倍伤害"	"0"	"castaura_on_self"	"CombatTriggerCondition26002002"	""	"26002002"	""	""	""	""	""	""	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"26002003"	"乾坤笔-增加移动速度"	""	"对有<破甲>的目标额外造成0.6倍伤害"	"0"	"castaura_on_self"	"CombatTriggerCondition26002003"	""	"26002003"	""	""	""	""	""	""	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"26003001"	"天命手环-附带水抗"	""	"对有<破甲>的目标额外造成0.6倍伤害"	"0"	"castaura_on_self"	"CombatTriggerCondition26003001"	""	"26003001"	""	""	""	""	""	""	""	""	""	""	""	"0"	"1.000000"	"-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
