"索引数字ID"	"名称（策划内部使用）"	"显示名称"	"类型0:怪1:npc2:可破坏物件3:静物4:采集物5.护送目标6.多人坐骑7.侍从"	"显示等级"	"初始化数值"	"显示头像"	"怪类型(0=普通怪,1=精英怪,2=稀有怪,3=首领怪,4=超级首领怪)"	"boss血条数"	"称谓"	"是否显示名称"	"是否显示npc/怪物血条该字段优先级大于游戏设置面板中的【显示怪物生命条】"	"是否可见"	"刚体特性.位移"	"选取特性.鼠标"	"选取特性.技能(是否可以被选中攻击目标，即是否无敌）"	"角色模型"	"缩放"	"模型放大的比率"	"移动速度"	"空闲速度"	"尺寸对位"	"技能判断点围绕着怪物进行分布。填100开头的代表两层，1000开头代表有3层"	"普通掉落"	"boss掉落(索引到BossDropConfig表)"	"掉落半径"	"屏蔽世界掉落"	"是否主动攻击"	"初始化阵营"	"ADD距离/静物触发距离"	"ADD数量/静物点击触发技能/采集物采集技能(采集距离和读条时间都由技能控制)"	"ADD延迟/采集物获得物品掉落ID"	"ADD开关（是否需要ADD别人）"	"被ADD开关（可否被ADD）"	"出生时检测是否需被ADD(用于控制怪物出生时是否寻找周围的盟友并触发进入战斗)"	"闲聊"	"交互类型（影响鼠标样式）0，无交互；1，传送门（金色）；2，传送门（蓝色）"	"传送门名称特效"	"角色功能"	"出生动画（对应ActionGroup）"	"死亡表现（对应ActionGroup）"	"死亡方式0=act1=重力"	"死后消失判断（跟刷新挂钩)"	"寿命"	"ai脚本"	"性格（索引到性格表）尽量不要乱填，去性格表里找对应模板"	"能力（索引到能力表）"	"进战斗说话"	"静物默认触发脚本"	"角色功能头顶图标无功能=0有功能=特效图标名称"	"是否被裁剪//当从屏幕外到屏幕内出现问题时多半是这个需要填成false"	"是否在交互中转向"	"场景层"	"DmaDialogShiftX,Y"	"DmaDialogEulerAngleX,Y"	"剧情中特殊的选中"	"是否修正坐标到地面"	"显示受击伤害的偏移"	"自动战斗ai攻击优先级"	"耐久值"	"破甲buff"	"破甲硬直时间"	"破甲普通掉落"	"点击语音"	"拒绝他人光环"	"脚步act"	"选中脚下光圈大小1-5共5档玩家等大=3boss=4超级大=5小动物=1or2"	"模型变色1=蓝色2=紫色3=金色4-橙色其他数字/留空=不变色"	""	""	""	""	""	""	""	""	
"23052"	"远程"	"北魏侍卫"	"0"	"82"	"252"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"100008"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"10120"	"1"	"1"	"0"	"1"	"100204"	"40000801"	""	""	"0"	"1"	"0"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"23053"	"BOSS1"	"冯婷"	"0"	"82"	"257"	"leftup_png_all,head_boss"	"3"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"70002"	"1.300000"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"1070"	"0"	"1"	"0"	"1"	"100204"	"30003000"	""	""	"0"	"1"	"0"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"23100"	"剧情本23-子贵母死"	"占地用"	"2"	"10"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	""	"1.3"	"280"	"4"	"0"	"0.000000"	""	"0"	""	"3"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"1070"	"0"	"20000"	"0"	"0"	"0"	"0"	""	""	"0"	"1"	"1"	"-1"	"0,0"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"23101"	"近战"	"北魏侍卫"	"0"	"84"	"252"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"100009"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"10150"	"1"	"1"	"0"	"1"	"100204"	"40000901"	""	""	"0"	"1"	"0"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"23102"	"远程"	"北魏侍卫"	"0"	"84"	"252"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"100009"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"10150"	"1"	"1"	"0"	"1"	"100204"	"40000901"	""	""	"0"	"1"	"0"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"23103"	"BOSS1"	"拓跋弘"	"0"	"84"	"257"	"leftup_png_all,head_boss"	"3"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"70014"	"1.300000"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"1080"	"0"	"1"	"0"	"1"	"100204"	"30004000"	""	""	"0"	"1"	"0"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"23150"	"剧情本24-太后冯婷"	"占地用"	"2"	"10"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	""	"1.3"	"280"	"4"	"0"	"0.000000"	""	"0"	""	"3"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"1070"	"0"	"20000"	"0"	"0"	"0"	"0"	""	""	"0"	"1"	"1"	"-1"	"0,0"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"23151"	"近战"	"北魏侍卫"	"0"	"86"	"252"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"100005"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"10070"	"1"	"1"	"0"	"1"	"100204"	"40000501"	""	""	"0"	"1"	"0"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"23152"	"远程"	"北魏侍卫"	"0"	"86"	"252"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"100005"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"10070"	"1"	"1"	"0"	"1"	"100204"	"40000501"	""	""	"0"	"1"	"0"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"23153"	"BOSS1"	"冯婷"	"0"	"86"	"257"	"leftup_png_all,head_boss"	"3"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"70002"	"1.300000"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"1070"	"0"	"1"	"0"	"1"	"100204"	"30003000"	""	""	"0"	"1"	"0"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"23200"	"剧情本25-求教容止"	"占地用"	"2"	"10"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	""	"1.3"	"280"	"4"	"0"	"0.000000"	""	"0"	""	"3"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"1070"	"0"	"20000"	"0"	"0"	"0"	"0"	""	""	"0"	"1"	"1"	"-1"	"0,0"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"23201"	"近战"	"侍卫"	"0"	"88"	"252"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"100008"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"10120"	"1"	"1"	"0"	"1"	"100204"	"40000801"	""	""	"0"	"1"	"0"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"23202"	"远程"	"侍卫"	"0"	"88"	"252"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"100008"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"10120"	"1"	"1"	"0"	"1"	"100204"	"40000801"	""	""	"0"	"1"	"0"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"23203"	"BOSS1"	"欧阳羽"	"0"	"88"	"257"	"leftup_png_all,head_boss"	"3"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"70001"	"1.300000"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"1060"	"0"	"1"	"0"	"1"	"100204"	"30006000"	""	""	"0"	"1"	"0"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"23250"	"剧情本26-男宠三千"	"占地用"	"2"	"10"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	""	"1.3"	"280"	"4"	"0"	"0.000000"	""	"0"	""	"3"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"1070"	"0"	"20000"	"0"	"0"	"0"	"0"	""	""	"0"	"1"	"1"	"-1"	"0,0"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"23251"	"近战"	"侍卫"	"0"	"90"	"252"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"100009"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"10150"	"1"	"1"	"0"	"1"	"100204"	"40000901"	""	""	"0"	"1"	"0"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"23252"	"远程"	"侍卫"	"0"	"90"	"252"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"100009"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"10150"	"1"	"1"	"0"	"1"	"100204"	"40000901"	""	""	"0"	"1"	"0"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"23253"	"BOSS1"	"李冲"	"0"	"90"	"255"	"leftup_png_all,head_boss"	"3"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"70007"	"1.300000"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"1050"	"0"	"1"	"0"	"1"	"100204"	"30005000"	""	""	"0"	"1"	"0"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"23254"	"BOSS2"	"王睿"	"0"	"90"	"256"	"leftup_png_all,head_boss"	"3"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"70001"	"1.300000"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"1060"	"0"	"1"	"0"	"1"	"100204"	"30006000"	""	""	"0"	"1"	"0"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"23300"	"剧情本27-垂帘听政"	"占地用"	"2"	"10"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	""	"1.3"	"280"	"4"	"0"	"0.000000"	""	"0"	""	"3"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"1070"	"0"	"20000"	"0"	"0"	"0"	"0"	""	""	"0"	"1"	"1"	"-1"	"0,0"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"23301"	"近战"	"北魏侍卫"	"0"	"92"	"252"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"100005"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"10070"	"1"	"1"	"0"	"1"	"100204"	"40000501"	""	""	"0"	"1"	"0"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"23302"	"远程"	"北魏侍卫"	"0"	"92"	"252"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"100005"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"10070"	"1"	"1"	"0"	"1"	"100204"	"40000501"	""	""	"0"	"1"	"0"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"23303"	"BOSS1"	"拓跋宏"	"0"	"92"	"255"	"leftup_png_all,head_boss"	"3"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"70003"	"1.300000"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"1020"	"0"	"1"	"0"	"1"	"100204"	"30007000"	""	""	"0"	"1"	"0"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"23304"	"BOSS2"	"拓跋弘"	"0"	"92"	"256"	"leftup_png_all,head_boss"	"3"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"70004"	"1.300000"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"1030"	"0"	"1"	"0"	"1"	"100204"	"30008000"	""	""	"0"	"1"	"0"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"23350"	"剧情本28-太和新制"	"占地用"	"2"	"10"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	""	"1.3"	"280"	"4"	"0"	"0.000000"	""	"0"	""	"3"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"1070"	"0"	"20000"	"0"	"0"	"0"	"0"	""	""	"0"	"1"	"1"	"-1"	"0,0"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"23351"	"近战"	"北魏侍卫"	"0"	"94"	"252"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"100008"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"10120"	"1"	"1"	"0"	"1"	"100204"	"40000801"	""	""	"0"	"1"	"0"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"23352"	"远程"	"北魏侍卫"	"0"	"94"	"252"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"100008"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"10120"	"1"	"1"	"0"	"1"	"100204"	"40000801"	""	""	"0"	"1"	"0"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"23353"	"BOSS1"	"李安世"	"0"	"94"	"255"	"leftup_png_all,head_boss"	"3"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"70004"	"1.300000"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"1030"	"0"	"1"	"0"	"1"	"100204"	"30008000"	""	""	"0"	"1"	"0"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"23354"	"BOSS2"	"冯婷"	"0"	"94"	"256"	"leftup_png_all,head_boss"	"3"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"70006"	"1.300000"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"1040"	"0"	"1"	"0"	"1"	"100204"	"30009000"	""	""	"0"	"1"	"0"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"23400"	"剧情本29-刘昶投敌"	"占地用"	"2"	"10"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	""	"1.3"	"280"	"4"	"0"	"0.000000"	""	"0"	""	"3"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"1070"	"0"	"20000"	"0"	"0"	"0"	"0"	""	""	"0"	"1"	"1"	"-1"	"0,0"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"23401"	"近战"	"北魏侍卫"	"0"	"96"	"252"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"100009"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"10150"	"1"	"1"	"0"	"1"	"100204"	"40000901"	""	""	"0"	"1"	"0"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"23402"	"远程"	"北魏侍卫"	"0"	"96"	"252"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"100009"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"10150"	"1"	"1"	"0"	"1"	"100204"	"40000901"	""	""	"0"	"1"	"0"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"23403"	"BOSS1"	"刘昶"	"0"	"96"	"255"	"leftup_png_all,head_boss"	"3"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"70021"	"1.300000"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"1200"	"0"	"1"	"0"	"1"	"100204"	"30012000"	""	""	"0"	"1"	"0"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"23404"	"BOSS2"	"高闾"	"0"	"96"	"256"	"leftup_png_all,head_boss"	"3"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"70017"	"1.300000"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"1160"	"0"	"1"	"0"	"1"	"100204"	"30013000"	""	""	"0"	"1"	"0"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"23450"	"剧情本30-慈育孝文"	"占地用"	"2"	"10"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	""	"1.3"	"280"	"4"	"0"	"0.000000"	""	"0"	""	"3"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"1070"	"0"	"20000"	"0"	"0"	"0"	"0"	""	""	"0"	"1"	"1"	"-1"	"0,0"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"23451"	"近战"	"北魏侍卫"	"0"	"98"	"252"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"100005"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"10070"	"1"	"1"	"0"	"1"	"100204"	"40000501"	""	""	"0"	"1"	"0"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"23452"	"远程"	"北魏侍卫"	"0"	"98"	"252"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"100005"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"10070"	"1"	"1"	"0"	"1"	"100204"	"40000501"	""	""	"0"	"1"	"0"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"23453"	"BOSS1"	"拓跋宏"	"0"	"98"	"255"	"leftup_png_all,head_boss"	"3"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"70007"	"1.300000"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"1050"	"0"	"1"	"0"	"1"	"100204"	"30005000"	""	""	"0"	"1"	"0"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"23454"	"BOSS2"	"冯婷"	"0"	"98"	"256"	"leftup_png_all,head_boss"	"3"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"70006"	"1.300000"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"1040"	"0"	"1"	"0"	"1"	"100204"	"30009000"	""	""	"0"	"1"	"0"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"23500"	"剧情本31-观日月出走"	"占地用"	"2"	"10"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	""	"1.3"	"280"	"4"	"0"	"0.000000"	""	"0"	""	"3"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"1070"	"0"	"20000"	"0"	"0"	"0"	"0"	""	""	"0"	"1"	"1"	"-1"	"0,0"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"23501"	"近战"	"家仆"	"0"	"100"	"252"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"100005"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"10070"	"1"	"1"	"0"	"1"	"100204"	"40000501"	""	""	"0"	"1"	"0"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"23502"	"远程"	"家仆"	"0"	"100"	"252"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"100005"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"0"	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"10070"	"1"	"1"	"0"	"1"	"100204"	"40000501"	""	""	"0"	"1"	"0"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
