"索引ID"	"职业区分（1丐帮，2少林，3全真）"	"索引MeridianNameConfig"	"经脉ID（命名规则为ID最后两位代表经脉所属页数，前面的ID代表该页数所属经脉,例如101代表，第一个经脉第一页）"	"本页经脉点1(数值1为该点开启所需等级，数组2为该点消耗的历练值，数组3为该点点击成功几率，数值4为属性/技能区分标识，数值5为属性ID/技能ID标识，数值6为男性属性加值/技能等级加值，数值7为女性属性价值/技能等级加值)"	"本页经脉点2(数值1为该点开启所需等级，数组2为该点消耗的历练值，数组3为该点点击成功几率，数值4为属性/技能区分标识，数值5为属性ID/技能ID标识，数值6为男性属性加值/技能等级加值，数值7为女性属性价值/技能等级加值)"	"本页经脉点3(数值1为该点开启所需等级，数组2为该点消耗的历练值，数组3为该点点击成功几率，数值4为属性/技能区分标识，数值5为属性ID/技能ID标识，数值6为男性属性加值/技能等级加值，数值7为女性属性价值/技能等级加值)"	"本页经脉点4(数值1为该点开启所需等级，数组2为该点消耗的历练值，数组3为该点点击成功几率，数值4为属性/技能区分标识，数值5为属性ID/技能ID标识，数值6为男性属性加值/技能等级加值，数值7为女性属性价值/技能等级加值)"	"本页经脉点5(数值1为该点开启所需等级，数组2为该点消耗的历练值，数组3为该点点击成功几率，数值4为属性/技能区分标识，数值5为属性ID/技能ID标识，数值6为男性属性加值/技能等级加值，数值7为女性属性价值/技能等级加值)"	"本页经脉点6(数值1为该点开启所需等级，数组2为该点消耗的历练值，数组3为该点点击成功几率，数值4为属性/技能区分标识，数值5为属性ID/技能ID标识，数值6为男性属性加值/技能等级加值，数值7为女性属性价值/技能等级加值)"	"本页经脉点7(数值1为该点开启所需等级，数组2为该点消耗的历练值，数组3为该点点击成功几率，数值4为属性/技能区分标识，数值5为属性ID/技能ID标识，数值6为男性属性加值/技能等级加值，数值7为女性属性价值/技能等级加值)"	"本页经脉点8(数值1为该点开启所需等级，数组2为该点消耗的历练值，数组3为该点点击成功几率，数值4为属性/技能区分标识，数值5为属性ID/技能ID标识，数值6为男性属性加值/技能等级加值，数值7为女性属性价值/技能等级加值)"	"本页经脉点9(数值1为该点开启所需等级，数组2为该点消耗的历练值，数组3为该点点击成功几率，数值4为属性/技能区分标识，数值5为属性ID/技能ID标识，数值6为男性属性加值/技能等级加值，数值7为女性属性价值/技能等级加值)"	"本页经脉点10(数值1为该点开启所需等级，数组2为该点消耗的历练值，数组3为该点点击成功几率，数值4为属性/技能区分标识，数值5为属性ID/技能ID标识，数值6为男性属性加值/技能等级加值，数值7为女性属性价值/技能等级加值)"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"109"	"2"	"3"	"309"	"157,28600,1,0,12,441,441"	"157,28800,1,0,14,442,442"	"158,28900,1,0,1,295,295"	"158,29000,1,0,2,444,444"	"158,29100,1,0,0,8907,8907"	"159,29200,1,0,1,298,298"	"159,29300,1,0,1,298,298"	"159,29400,1,0,0,8975,8975"	"160,29500,1,0,2,450,450"	"160,29700,1,0,1,301,301"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"110"	"2"	"3"	"310"	"160,30800,1,0,18,452,452"	"160,30900,1,0,16,453,453"	"161,31000,1,0,0,9087,9087"	"161,31100,1,0,1,304,304"	"161,31300,1,0,8,457,457"	"161,31400,1,0,1,305,305"	"162,31500,1,0,0,9177,9177"	"162,31600,1,0,2,460,460"	"162,31700,1,0,1,307,307"	"163,31800,1,0,10,462,462"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"111"	"2"	"4"	"401"	"163,33000,1,0,0,9267,9267"	"163,33100,1,0,1,310,310"	"163,33300,1,0,12,466,466"	"164,33400,1,0,14,467,467"	"164,33500,1,0,1,312,312"	"164,33600,1,0,0,9380,9380"	"164,33700,1,0,2,470,470"	"165,33900,1,0,1,314,314"	"165,34000,1,0,0,9447,9447"	"165,34100,1,0,1,316,316"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"112"	"2"	"4"	"402"	"165,35300,1,0,18,475,475"	"166,35500,1,0,16,476,476"	"166,35600,1,0,1,318,318"	"166,35700,1,0,0,9560,9560"	"166,35800,1,0,2,479,479"	"167,36000,1,0,1,320,320"	"167,36100,1,0,8,481,481"	"167,36200,1,0,0,9650,9650"	"168,36300,1,0,1,322,322"	"168,36500,1,0,10,485,485"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"113"	"2"	"4"	"403"	"168,37700,1,0,1,324,324"	"168,37900,1,0,0,9740,9740"	"169,38000,1,0,12,488,488"	"169,38100,1,0,1,326,326"	"169,38200,1,0,2,490,490"	"169,38400,1,0,14,491,491"	"170,38500,1,0,0,9852,9852"	"170,38600,1,0,1,329,329"	"170,38800,1,0,1,330,330"	"171,38900,1,0,0,9920,9920"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"114"	"2"	"4"	"404"	"171,40200,1,0,2,497,497"	"171,40300,1,0,1,332,332"	"171,40500,1,0,18,499,499"	"172,40600,1,0,16,501,501"	"172,40700,1,0,0,10033,10033"	"172,40900,1,0,1,335,335"	"173,41000,1,0,8,504,504"	"173,41100,1,0,1,337,337"	"173,41300,1,0,0,10123,10123"	"173,41400,1,0,2,507,507"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"115"	"2"	"4"	"405"	"174,42800,1,0,1,339,339"	"174,42900,1,0,10,510,510"	"174,43000,1,0,0,10213,10213"	"175,43200,1,0,1,341,341"	"175,43300,1,0,12,513,513"	"175,43500,1,0,14,514,514"	"175,43600,1,0,1,343,343"	"176,43700,1,0,0,10325,10325"	"176,43900,1,0,2,517,517"	"176,44000,1,0,1,346,346"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"116"	"2"	"4"	"406"	"177,45400,1,0,0,10393,10393"	"177,45600,1,0,1,347,347"	"177,45700,1,0,18,522,522"	"177,45800,1,0,16,523,523"	"178,46000,1,0,1,349,349"	"178,46100,1,0,0,10505,10505"	"178,46300,1,0,2,526,526"	"179,46400,1,0,1,352,352"	"179,46600,1,0,8,529,529"	"179,46700,1,0,0,10595,10595"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"117"	"2"	"4"	"407"	"180,48100,1,0,1,354,354"	"180,48300,1,0,10,532,532"	"180,48400,1,0,1,355,355"	"180,48600,1,0,0,10685,10685"	"180,48700,1,0,12,535,535"	"181,48900,1,0,1,358,358"	"181,49000,1,0,2,538,538"	"181,49200,1,0,14,539,539"	"181,49300,1,0,0,10798,10798"	"181,49500,1,0,1,361,361"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"118"	"2"	"4"	"408"	"182,50900,1,0,1,361,361"	"182,51100,1,0,0,10865,10865"	"182,51200,1,0,2,544,544"	"182,51400,1,0,1,364,364"	"182,51600,1,0,18,547,547"	"183,51700,1,0,16,548,548"	"183,51900,1,0,0,10978,10978"	"183,52000,1,0,1,367,367"	"183,52200,1,0,8,551,551"	"183,52300,1,0,1,368,368"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"119"	"2"	"4"	"409"	"184,53800,1,0,0,11068,11068"	"184,54000,1,0,2,555,555"	"184,54200,1,0,1,370,370"	"184,54300,1,0,10,557,557"	"184,54500,1,0,0,11158,11158"	"185,54600,1,0,1,373,373"	"185,54800,1,0,12,560,560"	"185,54900,1,0,14,561,561"	"185,55100,1,0,1,375,375"	"186,55200,1,0,0,11271,11271"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"120"	"2"	"4"	"410"	"186,56800,1,0,2,565,565"	"186,57000,1,0,1,377,377"	"186,57100,1,0,0,11338,11338"	"186,57300,1,0,1,379,379"	"187,57500,1,0,18,569,569"	"187,57600,1,0,16,570,570"	"187,57800,1,0,1,381,381"	"187,57900,1,0,0,11451,11451"	"188,58100,1,0,2,574,574"	"188,58300,1,0,1,383,383"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"121"	"2"	"5"	"501"	"188,59900,1,0,8,576,576"	"188,60000,1,0,0,11541,11541"	"188,60200,1,0,1,385,385"	"189,60400,1,0,10,579,579"	"189,60500,1,0,1,387,387"	"189,60700,1,0,0,11631,11631"	"189,60900,1,0,12,583,583"	"189,61000,1,0,1,389,389"	"190,61200,1,0,2,585,585"	"190,61400,1,0,14,586,586"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"122"	"2"	"5"	"502"	"190,63000,1,0,0,11743,11743"	"190,63200,1,0,1,392,392"	"191,63400,1,0,1,393,393"	"191,63500,1,0,0,11811,11811"	"191,63700,1,0,2,592,592"	"191,63900,1,0,1,395,395"	"192,64000,1,0,18,594,594"	"192,64200,1,0,16,595,595"	"192,64400,1,0,0,11923,11923"	"192,64500,1,0,1,398,398"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"123"	"2"	"5"	"503"	"192,66300,1,0,8,598,598"	"193,66400,1,0,1,400,400"	"193,66600,1,0,0,12014,12014"	"193,66800,1,0,2,602,602"	"193,66900,1,0,1,402,402"	"194,67100,1,0,10,604,604"	"194,67300,1,0,0,12104,12104"	"194,67500,1,0,1,404,404"	"194,67600,1,0,12,607,607"	"194,67800,1,0,14,609,609"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"124"	"2"	"5"	"504"	"195,69600,1,0,1,406,406"	"195,69700,1,0,0,12216,12216"	"195,69900,1,0,2,612,612"	"195,70100,1,0,1,409,409"	"196,70300,1,0,0,12284,12284"	"196,70500,1,0,1,410,410"	"196,70600,1,0,18,616,616"	"196,70800,1,0,16,618,618"	"197,71000,1,0,1,412,412"	"197,71200,1,0,0,12396,12396"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"125"	"2"	"5"	"505"	"197,73000,1,0,2,621,621"	"197,73100,1,0,1,415,415"	"198,73300,1,0,8,623,623"	"198,73500,1,0,0,12486,12486"	"198,73700,1,0,1,417,417"	"198,73900,1,0,10,627,627"	"198,74100,1,0,1,418,418"	"199,74200,1,0,0,12576,12576"	"199,74400,1,0,12,630,630"	"199,74600,1,0,1,421,421"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"126"	"2"	"5"	"506"	"199,76500,1,0,2,632,632"	"200,76600,1,0,14,633,633"	"200,76800,1,0,0,12689,12689"	"200,77000,1,0,1,424,424"	"200,77200,1,0,1,424,424"	"201,77400,1,0,0,12756,12756"	"201,77600,1,0,2,639,639"	"201,77800,1,0,1,427,427"	"201,77900,1,0,18,641,641"	"202,78100,1,0,16,642,642"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"127"	"2"	"5"	"507"	"202,80000,1,0,0,12869,12869"	"202,80200,1,0,1,430,430"	"202,80400,1,0,8,646,646"	"203,80600,1,0,1,431,431"	"203,80800,1,0,0,12959,12959"	"203,81000,1,0,2,649,649"	"203,81200,1,0,1,433,433"	"204,81400,1,0,10,651,651"	"204,81500,1,0,0,13049,13049"	"204,81700,1,0,1,436,436"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"128"	"2"	"5"	"508"	"204,83700,1,0,12,655,655"	"205,83900,1,0,14,656,656"	"205,84100,1,0,1,438,438"	"205,84300,1,0,0,13162,13162"	"205,84500,1,0,2,659,659"	"206,84700,1,0,1,440,440"	"206,84800,1,0,0,13229,13229"	"206,85000,1,0,1,442,442"	"206,85200,1,0,18,664,664"	"207,85400,1,0,16,665,665"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"129"	"2"	"5"	"509"	"207,87400,1,0,1,444,444"	"207,87600,1,0,0,13342,13342"	"207,87800,1,0,2,668,668"	"208,88000,1,0,1,446,446"	"208,88200,1,0,8,670,670"	"208,88400,1,0,0,13432,13432"	"208,88600,1,0,1,448,448"	"209,88800,1,0,10,674,674"	"209,89000,1,0,1,450,450"	"209,89200,1,0,0,13522,13522"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"130"	"2"	"5"	"510"	"209,91200,1,0,12,677,677"	"210,91400,1,0,1,452,452"	"210,91600,1,0,2,679,679"	"210,91900,1,0,14,681,681"	"210,92100,1,0,0,13634,13634"	"211,92300,1,0,1,455,455"	"211,92500,1,0,1,456,456"	"211,92700,1,0,0,13702,13702"	"212,92900,1,0,2,686,686"	"212,93100,1,0,1,458,458"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"131"	"2"	"6"	"601"	"212,95200,1,0,18,688,688"	"212,95400,1,0,16,690,690"	"213,95600,1,0,0,13814,13814"	"213,95800,1,0,1,461,461"	"213,96000,1,0,8,693,693"	"213,96200,1,0,1,463,463"	"214,96400,1,0,0,13904,13904"	"214,96600,1,0,2,696,696"	"214,96800,1,0,1,465,465"	"214,97000,1,0,10,699,699"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"132"	"2"	"6"	"602"	"215,99200,1,0,0,13995,13995"	"215,99400,1,0,1,467,467"	"215,99600,1,0,12,702,702"	"215,99800,1,0,14,703,703"	"216,100000,1,0,1,469,469"	"216,100200,1,0,0,14107,14107"	"216,100400,1,0,2,706,706"	"217,100600,1,0,1,472,472"	"217,100900,1,0,0,14175,14175"	"217,101100,1,0,1,473,473"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"133"	"2"	"6"	"603"	"217,103200,1,0,18,711,711"	"218,103500,1,0,16,712,712"	"218,103700,1,0,1,475,475"	"218,103900,1,0,0,14287,14287"	"218,104100,1,0,2,715,715"	"219,104300,1,0,1,478,478"	"219,104500,1,0,8,718,718"	"219,104800,1,0,0,14377,14377"	"220,105000,1,0,1,480,480"	"220,105200,1,0,10,721,721"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"134"	"2"	"6"	"604"	"220,107400,1,0,1,481,481"	"220,107600,1,0,0,14467,14467"	"221,107900,1,0,12,724,724"	"221,108100,1,0,1,484,484"	"221,108300,1,0,2,727,727"	"221,108500,1,0,14,728,728"	"222,108700,1,0,0,14580,14580"	"222,109000,1,0,1,487,487"	"222,109200,1,0,1,487,487"	"223,109400,1,0,0,14647,14647"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"135"	"2"	"6"	"605"	"223,111700,1,0,2,733,733"	"223,111900,1,0,1,490,490"	"223,112100,1,0,18,736,736"	"224,112300,1,0,16,737,737"	"224,112600,1,0,0,14760,14760"	"224,112800,1,0,1,493,493"	"225,113000,1,0,8,740,740"	"225,113300,1,0,1,494,494"	"225,113500,1,0,0,14850,14850"	"225,113700,1,0,2,744,744"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"136"	"2"	"6"	"606"	"226,116000,1,0,1,496,496"	"226,116200,1,0,10,746,746"	"226,116500,1,0,0,14940,14940"	"227,116700,1,0,1,499,499"	"227,116900,1,0,12,749,749"	"227,117200,1,0,14,750,750"	"227,117400,1,0,1,501,501"	"228,117600,1,0,0,15053,15053"	"228,117900,1,0,2,754,754"	"228,118100,1,0,1,503,503"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"137"	"2"	"6"	"607"	"229,120400,1,0,0,15120,15120"	"229,120700,1,0,1,505,505"	"229,120900,1,0,18,758,758"	"229,121100,1,0,16,759,759"	"230,121400,1,0,1,507,507"	"230,121600,1,0,0,15233,15233"	"230,121900,1,0,2,763,763"	"231,122100,1,0,1,509,509"	"231,122300,1,0,8,765,765"	"231,122600,1,0,0,15323,15323"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"138"	"2"	"6"	"608"	"231,125000,1,0,1,512,512"	"232,125200,1,0,10,768,768"	"232,125400,1,0,1,513,513"	"232,125700,1,0,0,15413,15413"	"233,125900,1,0,12,772,772"	"233,126200,1,0,1,515,515"	"233,126400,1,0,2,774,774"	"234,126600,1,0,14,775,775"	"234,126900,1,0,0,15525,15525"	"234,127100,1,0,1,518,518"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"139"	"2"	"6"	"609"	"234,129600,1,0,1,519,519"	"235,129800,1,0,0,15593,15593"	"235,130100,1,0,2,781,781"	"235,130300,1,0,1,521,521"	"236,130500,1,0,18,783,783"	"236,130800,1,0,16,784,784"	"236,131000,1,0,0,15705,15705"	"237,131300,1,0,1,524,524"	"237,131500,1,0,8,788,788"	"237,131800,1,0,1,526,526"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"140"	"2"	"6"	"610"	"237,134300,1,0,0,15795,15795"	"238,134500,1,0,2,791,791"	"238,134800,1,0,1,528,528"	"238,135000,1,0,10,793,793"	"239,135300,1,0,0,15885,15885"	"239,135500,1,0,1,530,530"	"239,135800,1,0,12,797,797"	"240,136000,1,0,14,798,798"	"240,136300,1,0,1,533,533"	"240,136500,1,0,0,15998,15998"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"141"	"2"	"7"	"701"	"240,139000,1,0,2,801,801"	"241,139300,1,0,1,535,535"	"241,139500,1,0,0,16066,16066"	"241,139800,1,0,1,536,536"	"242,140100,1,0,18,806,806"	"242,140300,1,0,16,807,807"	"242,140600,1,0,1,539,539"	"243,140800,1,0,0,16178,16178"	"243,141100,1,0,2,810,810"	"243,141300,1,0,1,541,541"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"142"	"2"	"7"	"702"	"244,143900,1,0,8,812,812"	"244,144200,1,0,0,16268,16268"	"244,144400,1,0,1,543,543"	"244,144700,1,0,10,816,816"	"245,144900,1,0,1,545,545"	"245,145200,1,0,0,16358,16358"	"245,145500,1,0,12,819,819"	"246,145700,1,0,1,547,547"	"246,146000,1,0,2,821,821"	"246,146200,1,0,14,822,822"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"143"	"2"	"7"	"703"	"247,148900,1,0,0,16471,16471"	"247,149100,1,0,1,550,550"	"247,149400,1,0,1,551,551"	"248,149600,1,0,0,16538,16538"	"248,149900,1,0,2,828,828"	"248,150200,1,0,1,553,553"	"249,150400,1,0,18,830,830"	"249,150700,1,0,16,831,831"	"249,151000,1,0,0,16651,16651"	"249,151200,1,0,1,556,556"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"144"	"2"	"7"	"704"	"250,153900,1,0,8,835,835"	"250,154200,1,0,1,557,557"	"250,154400,1,0,0,16741,16741"	"250,154700,1,0,2,838,838"	"251,155000,1,0,1,560,560"	"251,155200,1,0,10,840,840"	"251,155500,1,0,0,16831,16831"	"251,155800,1,0,1,562,562"	"252,156000,1,0,12,844,844"	"252,156300,1,0,14,845,845"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"145"	"2"	"7"	"705"	"252,159000,1,0,1,564,564"	"253,159300,1,0,0,16944,16944"	"253,159600,1,0,2,848,848"	"253,159900,1,0,1,566,566"	"253,160100,1,0,0,17011,17011"	"254,160400,1,0,1,568,568"	"254,160700,1,0,18,853,853"	"254,160900,1,0,16,854,854"	"254,161200,1,0,1,570,570"	"255,161500,1,0,0,17124,17124"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"146"	"2"	"7"	"706"	"255,164300,1,0,2,857,857"	"255,164500,1,0,1,572,572"	"256,164800,1,0,8,860,860"	"256,165100,1,0,0,17214,17214"	"256,165400,1,0,1,575,575"	"256,165600,1,0,10,863,863"	"257,165900,1,0,1,576,576"	"257,166200,1,0,0,17304,17304"	"257,166500,1,0,12,866,866"	"257,166800,1,0,2,867,867"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"147"	"2"	"7"	"707"	"258,169600,1,0,1,579,579"	"258,169800,1,0,14,870,870"	"258,170100,1,0,0,17416,17416"	"259,170400,1,0,1,581,581"	"259,170700,1,0,1,582,582"	"259,171000,1,0,0,17484,17484"	"259,171300,1,0,2,875,875"	"260,171500,1,0,18,876,876"	"260,171800,1,0,1,585,585"	"260,172100,1,0,16,879,879"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"148"	"2"	"7"	"708"	"260,175000,1,0,0,17596,17596"	"261,175200,1,0,1,587,587"	"261,175500,1,0,8,882,882"	"261,175800,1,0,1,589,589"	"262,176100,1,0,0,17686,17686"	"262,176400,1,0,2,885,885"	"262,176700,1,0,1,591,591"	"262,177000,1,0,10,888,888"	"263,177300,1,0,0,17776,17776"	"263,177500,1,0,1,593,593"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"149"	"2"	"7"	"709"	"263,180400,1,0,12,891,891"	"264,180700,1,0,14,892,892"	"264,181000,1,0,1,596,596"	"264,181300,1,0,0,17889,17889"	"264,181600,1,0,2,896,896"	"265,181900,1,0,1,598,598"	"265,182200,1,0,0,17957,17957"	"265,182500,1,0,1,599,599"	"266,182800,1,0,18,900,900"	"266,183100,1,0,16,901,901"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"150"	"2"	"7"	"710"	"266,186000,1,0,1,602,602"	"266,186300,1,0,0,18069,18069"	"267,186600,1,0,2,905,905"	"267,186900,1,0,1,604,604"	"267,187200,1,0,8,907,907"	"268,187500,1,0,0,18159,18159"	"268,187800,1,0,1,606,606"	"268,188100,1,0,10,910,910"	"268,188400,1,0,1,608,608"	"269,188700,1,0,0,18249,18249"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"151"	"2"	"8"	"801"	"269,191700,1,0,12,914,914"	"269,192000,1,0,2,915,915"	"270,192300,1,0,1,611,611"	"270,192600,1,0,14,917,917"	"270,192900,1,0,0,18362,18362"	"270,193200,1,0,1,613,613"	"271,193500,1,0,1,614,614"	"271,193800,1,0,0,18429,18429"	"271,194100,1,0,2,923,923"	"272,194400,1,0,18,924,924"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"152"	"2"	"8"	"802"	"272,197400,1,0,1,617,617"	"272,197700,1,0,16,926,926"	"273,198000,1,0,0,18542,18542"	"273,198300,1,0,1,619,619"	"273,198700,1,0,8,929,929"	"273,199000,1,0,1,620,620"	"274,199300,1,0,0,18632,18632"	"274,199600,1,0,2,933,933"	"274,199900,1,0,1,623,623"	"275,200200,1,0,10,935,935"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"153"	"2"	"8"	"803"	"275,203300,1,0,0,18722,18722"	"275,203600,1,0,1,625,625"	"275,203900,1,0,12,938,938"	"276,204200,1,0,14,939,939"	"276,204500,1,0,1,627,627"	"276,204800,1,0,0,18834,18834"	"277,205100,1,0,2,943,943"	"277,205400,1,0,1,629,629"	"277,205800,1,0,0,18902,18902"	"278,206100,1,0,1,631,631"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"154"	"2"	"8"	"804"	"278,209200,1,0,18,947,947"	"278,209500,1,0,16,948,948"	"278,209800,1,0,1,633,633"	"279,210100,1,0,0,19015,19015"	"279,210500,1,0,2,952,952"	"279,210800,1,0,1,635,635"	"280,211100,1,0,8,954,954"	"280,211400,1,0,0,19105,19105"	"280,211700,1,0,1,638,638"	"281,212000,1,0,10,957,957"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"155"	"2"	"8"	"805"	"281,215200,1,0,1,639,639"	"281,215500,1,0,0,19195,19195"	"282,215900,1,0,12,961,961"	"282,216200,1,0,2,962,962"	"282,216500,1,0,1,642,642"	"282,216800,1,0,14,964,964"	"283,217100,1,0,0,19307,19307"	"283,217500,1,0,1,644,644"	"283,217800,1,0,1,645,645"	"284,218100,1,0,0,19375,19375"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"156"	"2"	"8"	"806"	"284,221300,1,0,2,970,970"	"284,221700,1,0,18,971,971"	"285,222000,1,0,1,648,648"	"285,222300,1,0,16,973,973"	"285,222600,1,0,0,19487,19487"	"286,223000,1,0,1,650,650"	"286,223300,1,0,8,977,977"	"286,223600,1,0,1,652,652"	"286,223900,1,0,0,19577,19577"	"287,224300,1,0,2,980,980"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"157"	"2"	"8"	"807"	"287,227500,1,0,1,654,654"	"287,227900,1,0,10,982,982"	"288,228200,1,0,0,19667,19667"	"288,228500,1,0,1,656,656"	"288,228800,1,0,12,986,986"	"289,229200,1,0,14,987,987"	"289,229500,1,0,1,659,659"	"289,229800,1,0,0,19780,19780"	"290,230200,1,0,2,990,990"	"290,230500,1,0,1,661,661"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"158"	"2"	"8"	"808"	"290,233800,1,0,0,19847,19847"	"291,234200,1,0,1,662,662"	"291,234500,1,0,18,995,995"	"291,234800,1,0,16,996,996"	"291,235200,1,0,1,665,665"	"292,235500,1,0,0,19960,19960"	"292,235800,1,0,2,999,999"	"292,236200,1,0,1,667,667"	"293,236500,1,0,8,1001,1001"	"293,236800,1,0,0,20050,20050"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"159"	"2"	"8"	"809"	"293,240200,1,0,1,669,669"	"294,240500,1,0,10,1005,1005"	"294,240900,1,0,1,671,671"	"294,241200,1,0,0,20140,20140"	"295,241600,1,0,12,1008,1008"	"295,241900,1,0,2,1009,1009"	"295,242200,1,0,1,674,674"	"296,242600,1,0,14,1012,1012"	"296,242900,1,0,0,20253,20253"	"296,243200,1,0,1,676,676"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"160"	"2"	"8"	"810"	"297,246700,1,0,1,677,677"	"297,247000,1,0,0,20320,20320"	"297,247400,1,0,2,1017,1017"	"298,247700,1,0,18,1018,1018"	"298,248000,1,0,1,680,680"	"298,248400,1,0,16,1021,1021"	"299,248700,1,0,0,20433,20433"	"299,249100,1,0,1,682,682"	"299,249400,1,0,8,1024,1024"	"300,249800,1,0,1,683,683"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"161"	"1"	"1"	"101"	"1,100,1,0,1,50,50"	"1,100,1,0,0,1508,1508"	"1,100,1,0,2,76,76"	"2,200,1,0,1,50,50"	"2,200,1,0,8,76,76"	"3,300,1,0,0,1518,1518"	"4,300,1,0,1,51,51"	"4,400,1,0,10,76,76"	"5,400,1,0,12,76,76"	"6,500,1,0,1,51,51"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"162"	"1"	"1"	"102"	"6,600,1,0,0,1531,1531"	"7,600,1,0,14,77,77"	"7,700,1,0,1,51,51"	"8,700,1,0,2,77,77"	"9,800,1,0,18,77,77"	"9,800,1,0,0,1543,1543"	"10,900,1,0,1,52,52"	"10,1000,1,0,16,77,77"	"11,1000,1,0,1,52,52"	"12,1100,1,0,0,1553,1553"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"163"	"1"	"1"	"103"	"12,1100,1,0,1,52,52"	"13,1200,1,0,2,78,78"	"13,1300,1,0,0,1561,1561"	"14,1300,1,0,1,52,52"	"15,1400,1,0,8,78,78"	"15,1400,1,0,1,52,52"	"16,1500,1,0,0,1571,1571"	"17,1600,1,0,10,79,79"	"17,1600,1,0,2,79,79"	"18,1700,1,0,1,53,53"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"164"	"1"	"1"	"104"	"18,1700,1,0,12,79,79"	"19,1800,1,0,0,1583,1583"	"20,1900,1,0,1,53,53"	"20,1900,1,0,14,79,79"	"21,2000,1,0,18,80,80"	"22,2100,1,0,1,53,53"	"22,2100,1,0,0,1596,1596"	"23,2200,1,0,16,80,80"	"24,2300,1,0,1,53,53"	"24,2300,1,0,2,80,80"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"165"	"1"	"1"	"105"	"25,2400,1,0,0,1606,1606"	"25,2400,1,0,1,54,54"	"26,2500,1,0,1,54,54"	"27,2600,1,0,0,1613,1613"	"27,2600,1,0,2,81,81"	"28,2700,1,0,1,54,54"	"29,2800,1,0,8,81,81"	"29,2800,1,0,0,1623,1623"	"30,2900,1,0,1,54,54"	"31,3000,1,0,10,81,81"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"166"	"1"	"1"	"106"	"31,3000,1,0,12,82,82"	"32,3100,1,0,1,54,54"	"33,3200,1,0,0,1636,1636"	"33,3200,1,0,14,82,82"	"34,3300,1,0,1,55,55"	"34,3400,1,0,2,82,82"	"35,3400,1,0,18,123,123"	"36,3500,1,0,1,83,83"	"37,3500,1,0,0,2481,2481"	"38,3600,1,0,16,124,124"	""	""	""	""	""	""	""	""	""	""	""	""	""	
